date,time,machine,group,event_type,source_status,source,confidence,hit_sequence_id,start_count
20260910,16:54,0039,g3,INITIAL,初当り,PSCUBE history CSV,source_status_exact,1,1082
20260910,16:58,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,2,15
20260910,17:01,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,3,17
20260910,17:04,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,4,16
20260910,17:06,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,5,4
20260910,17:09,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,6,13
20260910,17:47,0039,g3,INITIAL,初当り,PSCUBE history CSV,source_status_exact,7,176
20260910,17:50,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,8,14
20260910,17:54,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,9,33
20260910,17:58,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,10,23
20260910,18:03,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,11,35
20260910,18:05,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,12,1
20260910,18:08,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,13,6
20260910,19:24,0039,g3,INITIAL,初当り,PSCUBE history CSV,source_status_exact,14,272
20260910,11:02,0040,g4,INITIAL,初当り,PSCUBE history CSV,source_status_exact,1,61
20260910,13:12,0040,g4,INITIAL,初当り,PSCUBE history CSV,source_status_exact,2,460
20260910,13:15,0040,g4,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,3,12
20260910,14:31,0040,g4,INITIAL,初当り,PSCUBE history CSV,source_status_exact,4,349
20260910,16:04,0040,g4,INITIAL,初当り,PSCUBE history CSV,source_status_exact,5,279
20260910,18:53,0040,g4,INITIAL,初当り,PSCUBE history CSV,source_status_exact,6,376
20260910,18:57,0040,g4,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,7,34
20260910,19:01,0040,g4,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,8,17
20260910,19:04,0040,g4,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,9,18
20260910,19:11,0040,g4,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,10,97
20260910,19:23,0040,g4,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,11,84
20260910,19:28,0040,g4,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,12,46
20260910,19:46,0040,g4,INITIAL,初当り,PSCUBE history CSV,source_status_exact,13,166
20260910,12:39,0041,g5,INITIAL,初当り,PSCUBE history CSV,source_status_exact,1,49
20260910,13:39,0041,g5,INITIAL,初当り,PSCUBE history CSV,source_status_exact,2,260
20260910,13:43,0041,g5,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,3,23
20260910,15:16,0041,g5,INITIAL,初当り,PSCUBE history CSV,source_status_exact,4,258
20260910,15:19,0041,g5,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,5,20
20260910,17:09,0041,g5,INITIAL,初当り,PSCUBE history CSV,source_status_exact,6,520
20260910,17:12,0041,g5,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,7,12
20260910,20:13,0041,g5,INITIAL,初当り,PSCUBE history CSV,source_status_exact,8,318
20260910,20:17,0041,g5,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,9,35
20260910,20:20,0041,g5,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,10,5
20260910,20:23,0041,g5,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,11,28
20260910,20:27,0041,g5,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,12,20
20260910,21:53,0041,g5,INITIAL,初当り,PSCUBE history CSV,source_status_exact,13,389
20260910,21:56,0041,g5,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,14,5
20260910,22:04,0041,g5,INITIAL,初当り,PSCUBE history CSV,source_status_exact,15,103
20260910,17:25,0042,g6,INITIAL,初当り,PSCUBE history CSV,source_status_exact,1,585
20260910,17:32,0042,g6,INITIAL,初当り,PSCUBE history CSV,source_status_exact,2,103
20260910,17:36,0042,g6,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,3,37
20260910,17:40,0042,g6,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,4,32
20260910,17:46,0042,g6,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,5,71
20260910,17:54,0042,g6,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,6,121
20260910,20:44,0042,g6,INITIAL,初当り,PSCUBE history CSV,source_status_exact,7,263
20260910,13:03,0043,g7,INITIAL,初当り,PSCUBE history CSV,source_status_exact,1,148
20260910,13:09,0043,g7,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,2,74
20260910,13:17,0043,g7,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,3,93
20260910,13:21,0043,g7,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,4,27
20260910,14:13,0043,g7,INITIAL,初当り,PSCUBE history CSV,source_status_exact,5,323
20260910,14:20,0043,g7,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,6,50
20260910,18:18,0043,g7,INITIAL,初当り,PSCUBE history CSV,source_status_exact,7,1033
20260910,19:13,0043,g7,INITIAL,初当り,PSCUBE history CSV,source_status_exact,8,270
20260910,19:16,0043,g7,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,9,19
20260910,20:02,0043,g7,INITIAL,初当り,PSCUBE history CSV,source_status_exact,10,283
20260910,14:06,0044,g8,INITIAL,初当り,PSCUBE history CSV,source_status_exact,1,72
20260910,19:08,0044,g8,INITIAL,初当り,PSCUBE history CSV,source_status_exact,2,836
20260910,19:20,0044,g8,INITIAL,初当り,PSCUBE history CSV,source_status_exact,3,108
20260910,19:24,0044,g8,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,4,43
20260910,13:19,0045,g9,INITIAL,初当り,PSCUBE history CSV,source_status_exact,1,186
20260910,13:31,0045,g9,INITIAL,初当り,PSCUBE history CSV,source_status_exact,2,132
20260910,13:34,0045,g9,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,3,13
20260910,13:38,0045,g9,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,4,25
20260910,13:47,0045,g9,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,5,156
20260910,13:51,0045,g9,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,6,44
20260910,13:55,0045,g9,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,7,43
20260910,13:58,0045,g9,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,8,1
20260910,14:16,0045,g9,INITIAL,初当り,PSCUBE history CSV,source_status_exact,9,162
20260910,14:19,0045,g9,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,10,3
20260910,14:22,0045,g9,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,11,2
20260910,14:24,0045,g9,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,12,9
20260910,14:27,0045,g9,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,13,6
20260910,15:59,0045,g9,INITIAL,初当り,PSCUBE history CSV,source_status_exact,14,453
20260910,16:27,0045,g9,INITIAL,初当り,PSCUBE history CSV,source_status_exact,15,164
20260910,16:31,0045,g9,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,16,15
20260910,16:35,0045,g9,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,17,21
20260910,16:41,0045,g9,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,18,52
20260910,16:46,0045,g9,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,19,41
20260910,16:49,0045,g9,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,20,10
20260910,16:54,0045,g9,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,21,74
20260910,16:57,0045,g9,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,22,1
