machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,3,11,14,3.6667,1207,-15289,-6756
0040,g4,6,7,13,1.1667,0,-10667,-7111
0041,g5,7,8,15,1.1429,1379,-4800,345
0042,g6,3,4,7,1.3333,0,-9422,-3644
0043,g7,5,5,10,1.0,3276,-12800,-12800
0044,g8,3,1,4,0.3333,0,-10489,-8711
0045,g9,5,18,23,3.6,20331,-1787,13388
0046,g1,4,25,29,6.25,33590,-3896,30000
0047,g2,4,6,10,1.5,2672,-7822,-7822
0048,g3,6,14,20,2.3333,12931,-2311,-1422
0049,g4,4,3,7,0.75,0,-19200,-19200
0050,g5,4,1,5,0.25,0,-21447,-21447
0051,g6,7,14,21,2.0,7759,-12089,7759
0052,g7,5,7,12,1.4,0,-21702,-11234
0053,g8,3,14,17,4.6667,15172,-3911,7241
0054,g9,4,13,17,3.25,0,-9333,-1333
0055,g1,6,13,19,2.1667,10690,-3556,5345
0056,g2,3,6,9,2.0,1207,-16711,-16711
0057,g3,4,12,16,3.0,9397,-6222,-1067
0058,g4,4,5,9,1.25,496,-20170,-17617
0059,g5,3,4,7,1.3333,0,-15289,-15289
0060,g6,4,12,16,3.0,3793,-12267,2759
0061,g7,4,19,23,4.75,15517,-4089,8793
0062,g8,4,12,16,3.0,16379,0,690
0063,g9,6,8,14,1.3333,2069,-11378,-533
0064,g1,3,2,5,0.6667,0,-14578,-14578
0065,g2,6,18,24,3.0,17069,-5156,16897
0066,g3,5,12,17,2.4,11207,-1244,6724
0067,g4,4,15,19,3.75,690,-17600,-3911
0068,g5,5,14,19,2.8,0,-11556,-6756
0069,g6,8,16,24,2.0,15517,-6400,6897
0070,g7,5,15,20,3.0,12414,-5867,7586
0071,g8,4,11,15,2.75,9569,-2844,5172
0072,g9,3,17,20,5.6667,9655,-5778,6810
0073,g1,2,2,4,1.0,0,-14222,-13156
0074,g2,3,5,8,1.6667,2931,-11556,-11556
0075,g3,2,0,2,0.0,0,-19733,-19733
0076,g4,3,3,6,1.0,0,-15467,-15111
0077,g5,5,13,18,2.6,9052,-8711,-2756
