group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,3,7,7,7,5,3
g2,2,5,5,9,8,6
g3,7,1,1,5,6,7
g4,5,3,2,6,9,9
g5,8,8,8,3,7,8
g6,1,6,6,4,3,2
g7,9,2,3,1,1,5
g8,6,4,4,2,2,4
g9,4,9,9,8,4,1
