group,machine_count,machines,initial_count,continuation_count,total_hit_count,continuation_per_initial,final_group_close
g1,4,"046,055,064,073",15,42,57,2.8,7611
g2,4,"047,056,065,074",16,35,51,2.1875,-19192
g3,5,"039,048,057,066,075",20,49,69,2.45,-22254
g4,5,"040,049,058,067,076",21,33,54,1.5714,-62950
g5,5,"041,050,059,068,077",24,40,64,1.6667,-45903
g6,4,"042,051,060,069",22,46,68,2.0909,13771
g7,4,"043,052,061,070",19,46,65,2.4211,-7655
g8,4,"044,053,062,071",14,38,52,2.7143,4392
g9,4,"045,054,063,072",18,56,74,3.1111,18332
