machine,group,first_hit_time,first_hit_order,source
0039,g3,13:02,26,PSCUBE history CSV status=初当り
0040,g4,10:59,7,PSCUBE history CSV status=初当り
0041,g5,10:20,1,PSCUBE history CSV status=初当り
0042,g6,,,no qualifying history event
0043,g7,11:13,9,PSCUBE history CSV status=初当り
0044,g8,14:49,37,PSCUBE history CSV status=初当り
0045,g9,13:18,27,PSCUBE history CSV status=初当り
0046,g1,11:33,17,PSCUBE history CSV status=初当り
0047,g2,12:19,22,PSCUBE history CSV status=初当り
0048,g3,11:44,18,PSCUBE history CSV status=初当り
0049,g4,14:21,32,PSCUBE history CSV status=初当り
0050,g5,11:22,12,PSCUBE history CSV status=初当り
0051,g6,14:40,35,PSCUBE history CSV status=初当り
0052,g7,11:19,10,PSCUBE history CSV status=初当り
0053,g8,12:27,24,PSCUBE history CSV status=初当り
0054,g9,12:05,21,PSCUBE history CSV status=初当り
0055,g1,12:34,25,PSCUBE history CSV status=初当り
0056,g2,12:26,23,PSCUBE history CSV status=初当り
0057,g3,10:34,2,PSCUBE history CSV status=初当り
0058,g4,14:05,31,PSCUBE history CSV status=初当り
0059,g5,10:42,4,PSCUBE history CSV status=初当り
0060,g6,17:42,38,PSCUBE history CSV status=初当り
0061,g7,13:39,28,PSCUBE history CSV status=初当り
0062,g8,11:19,11,PSCUBE history CSV status=初当り
0063,g9,14:30,34,PSCUBE history CSV status=初当り
0064,g1,10:51,5,PSCUBE history CSV status=初当り
0065,g2,11:27,14,PSCUBE history CSV status=初当り
0066,g3,13:41,29,PSCUBE history CSV status=初当り
0067,g4,14:28,33,PSCUBE history CSV status=初当り
0068,g5,10:54,6,PSCUBE history CSV status=初当り
0069,g6,11:55,20,PSCUBE history CSV status=初当り
0070,g7,11:29,16,PSCUBE history CSV status=初当り
0071,g8,14:48,36,PSCUBE history CSV status=初当り
0072,g9,11:28,15,PSCUBE history CSV status=初当り
0073,g1,11:52,19,PSCUBE history CSV status=初当り
0074,g2,13:43,30,PSCUBE history CSV status=初当り
0075,g3,10:36,3,PSCUBE history CSV status=初当り
0076,g4,11:11,8,PSCUBE history CSV status=初当り
0077,g5,11:23,13,PSCUBE history CSV status=初当り
