group,machines,machine_count,initial_hit_count,unique_machines_with_initial_hit,09-12_initial_hit_count,12-15_initial_hit_count,15-18_initial_hit_count,18-close_initial_hit_count,final_total
g1,"046,055,064,073",4,15,4,3,4,4,4,-2056
g2,"047,056,065,074",4,17,4,2,8,3,4,-4340
g3,"039,048,057,066,075",5,29,5,4,10,6,9,-6223
g4,"040,049,058,067,076",5,25,5,3,11,8,3,-7303
g5,"041,050,059,068,077",5,31,5,6,10,9,6,-6903
g6,"042,051,060,069",4,7,3,1,2,2,2,-48712
g7,"043,052,061,070",4,26,4,3,9,8,6,21003
g8,"044,053,062,071",4,18,4,1,5,8,4,18983
g9,"045,054,063,072",4,20,4,1,9,4,6,12601
