group,previous_wavelab_rank,previous_wavelab_score,previous_strong_group,morning_first_hit_time,morning_first_hit_machine,morning_first_hit_rank,activity_start_time,activity_start_rank,activity_start_initial,activity_start_continuation,activity_start_total,peak_initial_count,peak_continuation_count,peak_total_activity,peak_activity_rank,peak_group_delta,peak_delta_rank,final_close,final_rank
g1,1,1.25,True,10:51,0064,3,10:50,3,1,0,1,1,14,15,2,-10841,9,-2056,4
g2,7,0,False,11:27,0065,7,11:25,7,1,0,1,2,3,5,6,2136,4,-4340,5
g3,4,0.6,False,10:34,0057,2,10:30,2,1,0,1,4,13,17,1,-759,6,-6223,6
g4,5,0.4,False,10:59,0040,4,10:55,4,1,0,1,2,6,8,3,4448,3,-7303,8
g5,6,0.4,False,10:20,0041,1,10:20,1,1,1,2,2,4,6,4,5045,2,-6903,7
g6,8,0,False,11:55,0069,9,11:55,9,1,1,2,1,5,6,5,-9753,8,-48712,9
g7,3,0.75,False,11:13,0043,5,11:10,5,1,0,1,2,1,3,8,1214,5,21003,1
g8,2,1.25,False,11:19,0062,6,11:15,6,1,0,1,2,1,3,9,-9116,7,18983,2
g9,9,0,False,11:28,0072,8,11:25,8,1,0,1,0,5,5,7,9913,1,12601,3
