order,time,machine,group,source
1,10:20,0041,g5,PSCUBE history CSV status=初当り
2,10:34,0057,g3,PSCUBE history CSV status=初当り
3,10:36,0075,g3,PSCUBE history CSV status=初当り
4,10:42,0059,g5,PSCUBE history CSV status=初当り
5,10:51,0064,g1,PSCUBE history CSV status=初当り
6,10:54,0068,g5,PSCUBE history CSV status=初当り
7,10:59,0040,g4,PSCUBE history CSV status=初当り
8,11:11,0076,g4,PSCUBE history CSV status=初当り
9,11:13,0043,g7,PSCUBE history CSV status=初当り
10,11:19,0052,g7,PSCUBE history CSV status=初当り
11,11:19,0062,g8,PSCUBE history CSV status=初当り
12,11:22,0050,g5,PSCUBE history CSV status=初当り
13,11:23,0077,g5,PSCUBE history CSV status=初当り
14,11:27,0065,g2,PSCUBE history CSV status=初当り
15,11:28,0072,g9,PSCUBE history CSV status=初当り
16,11:29,0070,g7,PSCUBE history CSV status=初当り
17,11:33,0046,g1,PSCUBE history CSV status=初当り
18,11:44,0048,g3,PSCUBE history CSV status=初当り
19,11:52,0073,g1,PSCUBE history CSV status=初当り
20,11:55,0069,g6,PSCUBE history CSV status=初当り
21,12:05,0054,g9,PSCUBE history CSV status=初当り
22,12:19,0047,g2,PSCUBE history CSV status=初当り
23,12:26,0056,g2,PSCUBE history CSV status=初当り
24,12:27,0053,g8,PSCUBE history CSV status=初当り
25,12:34,0055,g1,PSCUBE history CSV status=初当り
26,13:02,0039,g3,PSCUBE history CSV status=初当り
27,13:18,0045,g9,PSCUBE history CSV status=初当り
28,13:39,0061,g7,PSCUBE history CSV status=初当り
29,13:41,0066,g3,PSCUBE history CSV status=初当り
30,13:43,0074,g2,PSCUBE history CSV status=初当り
31,14:05,0058,g4,PSCUBE history CSV status=初当り
32,14:21,0049,g4,PSCUBE history CSV status=初当り
33,14:28,0067,g4,PSCUBE history CSV status=初当り
34,14:30,0063,g9,PSCUBE history CSV status=初当り
35,14:40,0051,g6,PSCUBE history CSV status=初当り
36,14:48,0071,g8,PSCUBE history CSV status=初当り
37,14:49,0044,g8,PSCUBE history CSV status=初当り
38,17:42,0060,g6,PSCUBE history CSV status=初当り
