time,minute,machine,group,value,delta_5m,delta_10m,delta_30m
18:55,1135,0039,g3,4310,0,-1121,-1121
19:00,1140,0039,g3,4310,0,0,-1121
19:05,1145,0039,g3,4310,0,0,-1121
19:10,1150,0039,g3,4310,0,0,-1121
19:15,1155,0039,g3,4310,0,0,-1121
19:20,1160,0039,g3,4310,0,0,0
19:25,1165,0039,g3,7931,3621,3621,3621
19:30,1170,0039,g3,7931,0,3621,3621
19:35,1175,0039,g3,7931,0,0,3621
19:40,1180,0039,g3,7931,0,0,3621
19:45,1185,0039,g3,6724,-1207,-1207,2414
19:50,1190,0039,g3,6724,0,-1207,2414
19:55,1195,0039,g3,6724,0,0,-1207
20:00,1200,0039,g3,6724,0,0,-1207
20:05,1205,0039,g3,6724,0,0,-1207
20:10,1210,0039,g3,6724,0,0,-1207
20:15,1215,0039,g3,6724,0,0,0
20:20,1220,0039,g3,6724,0,0,0
20:25,1225,0039,g3,6724,0,0,0
20:30,1230,0039,g3,5259,-1465,-1465,-1465
20:35,1235,0039,g3,5259,0,-1465,-1465
20:40,1240,0039,g3,5259,0,0,-1465
20:45,1245,0039,g3,4741,-518,-518,-1983
20:50,1250,0039,g3,4741,0,-518,-1983
20:55,1255,0039,g3,4741,0,0,-1983
21:00,1260,0039,g3,4741,0,0,-518
21:05,1265,0039,g3,4741,0,0,-518
21:10,1270,0039,g3,4741,0,0,-518
21:15,1275,0039,g3,4741,0,0,0
21:20,1280,0039,g3,4741,0,0,0
21:25,1285,0039,g3,4741,0,0,0
21:30,1290,0039,g3,6897,2156,2156,2156
21:35,1295,0039,g3,6897,0,2156,2156
21:40,1300,0039,g3,6897,0,0,2156
21:45,1305,0039,g3,6466,-431,-431,1725
21:50,1310,0039,g3,6466,0,-431,1725
21:55,1315,0039,g3,6466,0,0,1725
22:00,1320,0039,g3,6466,0,0,-431
22:05,1325,0039,g3,6466,0,0,-431
22:10,1330,0039,g3,6466,0,0,-431
22:15,1335,0039,g3,6466,0,0,0
22:20,1340,0039,g3,6466,0,0,0
22:25,1345,0039,g3,6466,0,0,0
22:30,1350,0039,g3,6466,0,0,0
22:35,1355,0039,g3,6466,0,0,0
22:40,1360,0039,g3,6466,0,0,0
22:45,1365,0039,g3,6466,0,0,0
22:50,1370,0039,g3,6466,0,0,0
22:55,1375,0039,g3,6466,0,0,0
23:00,1380,0039,g3,6466,0,0,0
23:05,1385,0039,g3,6466,0,0,0
23:10,1390,0039,g3,6466,0,0,0
23:15,1395,0039,g3,6466,0,0,0
23:16,1396,0039,g3,6466,,,
23:20,1400,0039,g3,6466,0,0,0
09:00,540,0040,g4,0,,,
09:05,545,0040,g4,0,0,,
09:10,550,0040,g4,0,0,0,
09:15,555,0040,g4,0,0,0,
09:20,560,0040,g4,0,0,0,
09:25,565,0040,g4,0,0,0,
09:30,570,0040,g4,0,0,0,0
09:35,575,0040,g4,0,0,0,0
09:40,580,0040,g4,0,0,0,0
09:45,585,0040,g4,0,0,0,0
09:50,590,0040,g4,0,0,0,0
09:55,595,0040,g4,0,0,0,0
10:00,600,0040,g4,0,0,0,0
10:05,605,0040,g4,0,0,0,0
10:10,610,0040,g4,0,0,0,0
10:15,615,0040,g4,0,0,0,0
10:20,620,0040,g4,0,0,0,0
10:25,625,0040,g4,-1021,-1021,-1021,-1021
10:30,630,0040,g4,-1021,0,-1021,-1021
10:35,635,0040,g4,-1021,0,0,-1021
10:40,640,0040,g4,-2043,-1022,-1022,-2043
10:45,645,0040,g4,-2043,0,-1022,-2043
10:50,650,0040,g4,-2043,0,0,-2043
10:55,655,0040,g4,-2043,0,0,-1022
11:00,660,0040,g4,-3319,-1276,-1276,-2298
11:05,665,0040,g4,-3319,0,-1276,-2298
11:10,670,0040,g4,-3319,0,0,-1276
11:15,675,0040,g4,-3319,0,0,-1276
11:20,680,0040,g4,-3319,0,0,-1276
11:25,685,0040,g4,-3319,0,0,-1276
11:30,690,0040,g4,-3064,255,255,255
11:35,695,0040,g4,-3064,0,255,255
11:40,700,0040,g4,-3064,0,0,255
11:45,705,0040,g4,496,3560,3560,3815
11:50,710,0040,g4,496,0,3560,3815
11:55,715,0040,g4,496,0,0,3815
12:00,720,0040,g4,496,0,0,3560
12:05,725,0040,g4,496,0,0,3560
12:10,730,0040,g4,496,0,0,3560
12:15,735,0040,g4,496,0,0,0
12:20,740,0040,g4,496,0,0,0
12:25,745,0040,g4,496,0,0,0
12:30,750,0040,g4,2727,2231,2231,2231
12:35,755,0040,g4,2727,0,2231,2231
12:40,760,0040,g4,2727,0,0,2231
12:45,765,0040,g4,2727,0,0,2231
12:50,770,0040,g4,8182,5455,5455,7686
12:55,775,0040,g4,8182,0,5455,7686
13:00,780,0040,g4,8182,0,0,5455
13:05,785,0040,g4,8182,0,0,5455
13:10,790,0040,g4,8182,0,0,5455
13:15,795,0040,g4,8182,0,0,5455
13:20,800,0040,g4,8182,0,0,0
13:25,805,0040,g4,11157,2975,2975,2975
13:30,810,0040,g4,11157,0,2975,2975
13:35,815,0040,g4,11157,0,0,2975
13:40,820,0040,g4,11157,0,0,2975
13:45,825,0040,g4,11157,0,0,2975
13:50,830,0040,g4,11901,744,744,3719
13:55,835,0040,g4,11901,0,744,744
14:00,840,0040,g4,11901,0,0,744
14:05,845,0040,g4,11901,0,0,744
14:10,850,0040,g4,11901,0,0,744
14:15,855,0040,g4,11901,0,0,744
14:20,860,0040,g4,11901,0,0,0
14:25,865,0040,g4,11901,0,0,0
14:30,870,0040,g4,20083,8182,8182,8182
14:35,875,0040,g4,20083,0,8182,8182
14:40,880,0040,g4,20083,0,0,8182
14:45,885,0040,g4,18595,-1488,-1488,6694
14:50,890,0040,g4,18595,0,-1488,6694
14:55,895,0040,g4,18595,0,0,6694
15:00,900,0040,g4,18595,0,0,-1488
15:05,905,0040,g4,18595,0,0,-1488
15:10,910,0040,g4,18595,0,0,-1488
15:15,915,0040,g4,18595,0,0,0
15:20,920,0040,g4,18595,0,0,0
15:25,925,0040,g4,18595,0,0,0
15:30,930,0040,g4,24545,5950,5950,5950
15:35,935,0040,g4,24545,0,5950,5950
15:40,940,0040,g4,24545,0,0,5950
15:45,945,0040,g4,23058,-1487,-1487,4463
15:50,950,0040,g4,23058,0,-1487,4463
15:55,955,0040,g4,23058,0,0,4463
16:00,960,0040,g4,23058,0,0,-1487
16:05,965,0040,g4,23058,0,0,-1487
16:10,970,0040,g4,23058,0,0,-1487
16:15,975,0040,g4,23058,0,0,0
16:20,980,0040,g4,23058,0,0,0
16:25,985,0040,g4,23058,0,0,0
16:30,990,0040,g4,20826,-2232,-2232,-2232
16:35,995,0040,g4,20826,0,-2232,-2232
16:40,1000,0040,g4,20826,0,0,-2232
16:45,1005,0040,g4,20826,0,0,-2232
16:50,1010,0040,g4,20826,0,0,-2232
16:55,1015,0040,g4,20826,0,0,-2232
17:00,1020,0040,g4,20826,0,0,0
17:05,1025,0040,g4,20826,0,0,0
17:10,1030,0040,g4,20826,0,0,0
17:15,1035,0040,g4,20826,0,0,0
17:20,1040,0040,g4,20826,0,0,0
17:25,1045,0040,g4,20826,0,0,0
17:30,1050,0040,g4,21074,248,248,248
17:35,1055,0040,g4,21074,0,248,248
17:40,1060,0040,g4,21074,0,0,248
17:45,1065,0040,g4,21074,0,0,248
17:50,1070,0040,g4,19339,-1735,-1735,-1487
17:55,1075,0040,g4,19339,0,-1735,-1487
18:00,1080,0040,g4,19339,0,0,-1735
18:05,1085,0040,g4,19339,0,0,-1735
18:10,1090,0040,g4,19339,0,0,-1735
18:15,1095,0040,g4,19339,0,0,-1735
18:20,1100,0040,g4,19339,0,0,0
18:25,1105,0040,g4,17603,-1736,-1736,-1736
18:30,1110,0040,g4,17603,0,-1736,-1736
18:35,1115,0040,g4,17603,0,0,-1736
18:40,1120,0040,g4,17603,0,0,-1736
18:45,1125,0040,g4,17603,0,0,-1736
18:50,1130,0040,g4,17603,0,0,-1736
18:55,1135,0040,g4,17603,0,0,0
19:00,1140,0040,g4,17603,0,0,0
19:05,1145,0040,g4,17603,0,0,0
19:10,1150,0040,g4,17603,0,0,0
19:15,1155,0040,g4,17603,0,0,0
19:20,1160,0040,g4,17603,0,0,0
19:25,1165,0040,g4,17603,0,0,0
19:30,1170,0040,g4,17603,0,0,0
19:35,1175,0040,g4,17603,0,0,0
19:40,1180,0040,g4,17603,0,0,0
19:45,1185,0040,g4,17603,0,0,0
19:50,1190,0040,g4,17603,0,0,0
19:55,1195,0040,g4,17603,0,0,0
20:00,1200,0040,g4,17603,0,0,0
20:05,1205,0040,g4,17603,0,0,0
20:10,1210,0040,g4,17603,0,0,0
20:15,1215,0040,g4,17603,0,0,0
20:20,1220,0040,g4,17603,0,0,0
20:25,1225,0040,g4,17603,0,0,0
20:30,1230,0040,g4,15372,-2231,-2231,-2231
20:35,1235,0040,g4,15372,0,-2231,-2231
20:40,1240,0040,g4,15372,0,0,-2231
20:45,1245,0040,g4,15124,-248,-248,-2479
20:50,1250,0040,g4,15124,0,-248,-2479
20:55,1255,0040,g4,15124,0,0,-2479
21:00,1260,0040,g4,15124,0,0,-248
21:05,1265,0040,g4,15124,0,0,-248
21:10,1270,0040,g4,15124,0,0,-248
21:15,1275,0040,g4,15124,0,0,0
21:20,1280,0040,g4,15124,0,0,0
21:25,1285,0040,g4,15124,0,0,0
21:30,1290,0040,g4,14876,-248,-248,-248
21:35,1295,0040,g4,14876,0,-248,-248
21:40,1300,0040,g4,14876,0,0,-248
21:45,1305,0040,g4,14380,-496,-496,-744
21:50,1310,0040,g4,14380,0,-496,-744
21:55,1315,0040,g4,14380,0,0,-744
22:00,1320,0040,g4,14380,0,0,-496
22:05,1325,0040,g4,14380,0,0,-496
22:10,1330,0040,g4,14380,0,0,-496
22:15,1335,0040,g4,14380,0,0,0
22:20,1340,0040,g4,14380,0,0,0
22:25,1345,0040,g4,14380,0,0,0
22:30,1350,0040,g4,14380,0,0,0
22:35,1355,0040,g4,14380,0,0,0
22:40,1360,0040,g4,14380,0,0,0
22:45,1365,0040,g4,14380,0,0,0
22:50,1370,0040,g4,14380,0,0,0
22:55,1375,0040,g4,14380,0,0,0
23:00,1380,0040,g4,14380,0,0,0
23:05,1385,0040,g4,14380,0,0,0
23:10,1390,0040,g4,14380,0,0,0
23:15,1395,0040,g4,14380,0,0,0
23:16,1396,0040,g4,14380,,,
23:20,1400,0040,g4,14380,0,0,0
09:00,540,0041,g5,0,,,
09:05,545,0041,g5,0,0,,
09:10,550,0041,g5,0,0,0,
09:15,555,0041,g5,0,0,0,
09:20,560,0041,g5,0,0,0,
09:25,565,0041,g5,0,0,0,
09:30,570,0041,g5,0,0,0,0
09:35,575,0041,g5,0,0,0,0
09:40,580,0041,g5,0,0,0,0
09:45,585,0041,g5,0,0,0,0
09:50,590,0041,g5,0,0,0,0
09:55,595,0041,g5,0,0,0,0
10:00,600,0041,g5,0,0,0,0
10:05,605,0041,g5,0,0,0,0
10:10,610,0041,g5,-533,-533,-533,-533
10:15,615,0041,g5,-533,0,-533,-533
10:20,620,0041,g5,-533,0,0,-533
10:25,625,0041,g5,1379,1912,1912,1379
10:30,630,0041,g5,1379,0,1912,1379
10:35,635,0041,g5,1379,0,0,1379
10:40,640,0041,g5,2759,1380,1380,3292
10:45,645,0041,g5,2759,0,1380,3292
10:50,650,0041,g5,2759,0,0,3292
10:55,655,0041,g5,2759,0,0,1380
11:00,660,0041,g5,1552,-1207,-1207,173
11:05,665,0041,g5,1552,0,-1207,173
11:10,670,0041,g5,1552,0,0,-1207
11:15,675,0041,g5,1552,0,0,-1207
11:20,680,0041,g5,1552,0,0,-1207
11:25,685,0041,g5,1552,0,0,-1207
11:30,690,0041,g5,7241,5689,5689,5689
11:35,695,0041,g5,7241,0,5689,5689
11:40,700,0041,g5,7241,0,0,5689
11:45,705,0041,g5,6379,-862,-862,4827
11:50,710,0041,g5,6379,0,-862,4827
11:55,715,0041,g5,6379,0,0,4827
12:00,720,0041,g5,6379,0,0,-862
12:05,725,0041,g5,6379,0,0,-862
12:10,730,0041,g5,6379,0,0,-862
12:15,735,0041,g5,6379,0,0,0
12:20,740,0041,g5,6379,0,0,0
12:25,745,0041,g5,6379,0,0,0
12:30,750,0041,g5,4483,-1896,-1896,-1896
12:35,755,0041,g5,4483,0,-1896,-1896
12:40,760,0041,g5,4483,0,0,-1896
12:45,765,0041,g5,4483,0,0,-1896
12:50,770,0041,g5,3448,-1035,-1035,-2931
12:55,775,0041,g5,3448,0,-1035,-2931
13:00,780,0041,g5,3448,0,0,-1035
13:05,785,0041,g5,3448,0,0,-1035
13:10,790,0041,g5,3448,0,0,-1035
13:15,795,0041,g5,3448,0,0,-1035
13:20,800,0041,g5,3448,0,0,0
13:25,805,0041,g5,2241,-1207,-1207,-1207
13:30,810,0041,g5,2241,0,-1207,-1207
13:35,815,0041,g5,2241,0,0,-1207
13:40,820,0041,g5,2241,0,0,-1207
13:45,825,0041,g5,2241,0,0,-1207
13:50,830,0041,g5,1724,-517,-517,-1724
13:55,835,0041,g5,1724,0,-517,-517
14:00,840,0041,g5,1724,0,0,-517
14:05,845,0041,g5,1724,0,0,-517
14:10,850,0041,g5,1724,0,0,-517
14:15,855,0041,g5,1724,0,0,-517
14:20,860,0041,g5,1724,0,0,0
14:25,865,0041,g5,1724,0,0,0
14:30,870,0041,g5,9310,7586,7586,7586
14:35,875,0041,g5,9310,0,7586,7586
14:40,880,0041,g5,9310,0,0,7586
14:45,885,0041,g5,7759,-1551,-1551,6035
14:50,890,0041,g5,7759,0,-1551,6035
14:55,895,0041,g5,7759,0,0,6035
15:00,900,0041,g5,7759,0,0,-1551
15:05,905,0041,g5,7759,0,0,-1551
15:10,910,0041,g5,7759,0,0,-1551
15:15,915,0041,g5,7759,0,0,0
15:20,920,0041,g5,7759,0,0,0
15:25,925,0041,g5,7759,0,0,0
15:30,930,0041,g5,12069,4310,4310,4310
15:35,935,0041,g5,12069,0,4310,4310
15:40,940,0041,g5,12069,0,0,4310
15:45,945,0041,g5,10690,-1379,-1379,2931
15:50,950,0041,g5,10690,0,-1379,2931
15:55,955,0041,g5,10690,0,0,2931
16:00,960,0041,g5,10690,0,0,-1379
16:05,965,0041,g5,10690,0,0,-1379
16:10,970,0041,g5,10690,0,0,-1379
16:15,975,0041,g5,10690,0,0,0
16:20,980,0041,g5,10690,0,0,0
16:25,985,0041,g5,10690,0,0,0
16:30,990,0041,g5,12241,1551,1551,1551
16:35,995,0041,g5,12241,0,1551,1551
16:40,1000,0041,g5,12241,0,0,1551
16:45,1005,0041,g5,12241,0,0,1551
16:50,1010,0041,g5,11034,-1207,-1207,344
16:55,1015,0041,g5,11034,0,-1207,344
17:00,1020,0041,g5,11034,0,0,-1207
17:05,1025,0041,g5,11034,0,0,-1207
17:10,1030,0041,g5,11034,0,0,-1207
17:15,1035,0041,g5,11034,0,0,-1207
17:20,1040,0041,g5,11034,0,0,0
17:25,1045,0041,g5,11034,0,0,0
17:30,1050,0041,g5,10690,-344,-344,-344
17:35,1055,0041,g5,10690,0,-344,-344
17:40,1060,0041,g5,10690,0,0,-344
17:45,1065,0041,g5,10690,0,0,-344
17:50,1070,0041,g5,9483,-1207,-1207,-1551
17:55,1075,0041,g5,9483,0,-1207,-1551
18:00,1080,0041,g5,9483,0,0,-1207
18:05,1085,0041,g5,9483,0,0,-1207
18:10,1090,0041,g5,9483,0,0,-1207
18:15,1095,0041,g5,9483,0,0,-1207
18:20,1100,0041,g5,9483,0,0,0
18:25,1105,0041,g5,8793,-690,-690,-690
18:30,1110,0041,g5,8793,0,-690,-690
18:35,1115,0041,g5,8793,0,0,-690
18:40,1120,0041,g5,8793,0,0,-690
18:45,1125,0041,g5,8793,0,0,-690
18:50,1130,0041,g5,7414,-1379,-1379,-2069
18:55,1135,0041,g5,7414,0,-1379,-1379
19:00,1140,0041,g5,7414,0,0,-1379
19:05,1145,0041,g5,7414,0,0,-1379
19:10,1150,0041,g5,7414,0,0,-1379
19:15,1155,0041,g5,7414,0,0,-1379
19:20,1160,0041,g5,7414,0,0,0
19:25,1165,0041,g5,6207,-1207,-1207,-1207
19:30,1170,0041,g5,6207,0,-1207,-1207
19:35,1175,0041,g5,6207,0,0,-1207
19:40,1180,0041,g5,6207,0,0,-1207
19:45,1185,0041,g5,5000,-1207,-1207,-2414
19:50,1190,0041,g5,5000,0,-1207,-2414
19:55,1195,0041,g5,5000,0,0,-1207
20:00,1200,0041,g5,5000,0,0,-1207
20:05,1205,0041,g5,5000,0,0,-1207
20:10,1210,0041,g5,5000,0,0,-1207
20:15,1215,0041,g5,5000,0,0,0
20:20,1220,0041,g5,5000,0,0,0
20:25,1225,0041,g5,5000,0,0,0
20:30,1230,0041,g5,3103,-1897,-1897,-1897
20:35,1235,0041,g5,3103,0,-1897,-1897
20:40,1240,0041,g5,3103,0,0,-1897
20:45,1245,0041,g5,3103,0,0,-1897
20:50,1250,0041,g5,3103,0,0,-1897
20:55,1255,0041,g5,3103,0,0,-1897
21:00,1260,0041,g5,3103,0,0,0
21:05,1265,0041,g5,3103,0,0,0
21:10,1270,0041,g5,3103,0,0,0
21:15,1275,0041,g5,3103,0,0,0
21:20,1280,0041,g5,3103,0,0,0
21:25,1285,0041,g5,3103,0,0,0
21:30,1290,0041,g5,2759,-344,-344,-344
21:35,1295,0041,g5,2759,0,-344,-344
21:40,1300,0041,g5,2759,0,0,-344
21:45,1305,0041,g5,2759,0,0,-344
21:50,1310,0041,g5,2759,0,0,-344
21:55,1315,0041,g5,2759,0,0,-344
22:00,1320,0041,g5,2759,0,0,0
22:05,1325,0041,g5,2759,0,0,0
22:10,1330,0041,g5,2759,0,0,0
22:15,1335,0041,g5,2759,0,0,0
22:20,1340,0041,g5,2759,0,0,0
22:25,1345,0041,g5,2759,0,0,0
22:30,1350,0041,g5,2759,0,0,0
22:35,1355,0041,g5,2759,0,0,0
22:40,1360,0041,g5,2759,0,0,0
22:45,1365,0041,g5,2759,0,0,0
22:50,1370,0041,g5,2759,0,0,0
22:55,1375,0041,g5,2759,0,0,0
23:00,1380,0041,g5,2759,0,0,0
23:05,1385,0041,g5,2759,0,0,0
23:10,1390,0041,g5,2759,0,0,0
23:15,1395,0041,g5,2759,0,0,0
23:16,1396,0041,g5,2759,,,
23:20,1400,0041,g5,2759,0,0,0
09:00,540,0042,g6,0,,,
09:05,545,0042,g6,0,0,,
09:10,550,0042,g6,0,0,0,
09:15,555,0042,g6,0,0,0,
09:20,560,0042,g6,0,0,0,
09:25,565,0042,g6,0,0,0,
09:30,570,0042,g6,0,0,0,0
09:35,575,0042,g6,0,0,0,0
09:40,580,0042,g6,0,0,0,0
09:45,585,0042,g6,0,0,0,0
09:50,590,0042,g6,0,0,0,0
09:55,595,0042,g6,0,0,0,0
10:00,600,0042,g6,0,0,0,0
10:05,605,0042,g6,0,0,0,0
10:10,610,0042,g6,0,0,0,0
10:15,615,0042,g6,0,0,0,0
10:20,620,0042,g6,0,0,0,0
10:25,625,0042,g6,0,0,0,0
10:30,630,0042,g6,0,0,0,0
10:35,635,0042,g6,0,0,0,0
10:40,640,0042,g6,0,0,0,0
10:45,645,0042,g6,0,0,0,0
10:50,650,0042,g6,0,0,0,0
10:55,655,0042,g6,0,0,0,0
11:00,660,0042,g6,0,0,0,0
11:05,665,0042,g6,0,0,0,0
11:10,670,0042,g6,0,0,0,0
11:15,675,0042,g6,0,0,0,0
11:20,680,0042,g6,0,0,0,0
11:25,685,0042,g6,0,0,0,0
11:30,690,0042,g6,-356,-356,-356,-356
11:35,695,0042,g6,-356,0,-356,-356
11:40,700,0042,g6,-356,0,0,-356
11:45,705,0042,g6,-356,0,0,-356
11:50,710,0042,g6,-356,0,0,-356
11:55,715,0042,g6,-356,0,0,-356
12:00,720,0042,g6,-356,0,0,0
12:05,725,0042,g6,-356,0,0,0
12:10,730,0042,g6,-356,0,0,0
12:15,735,0042,g6,-356,0,0,0
12:20,740,0042,g6,-356,0,0,0
12:25,745,0042,g6,-356,0,0,0
12:30,750,0042,g6,-356,0,0,0
12:35,755,0042,g6,-356,0,0,0
12:40,760,0042,g6,-356,0,0,0
12:45,765,0042,g6,-356,0,0,0
12:50,770,0042,g6,-356,0,0,0
12:55,775,0042,g6,-356,0,0,0
13:00,780,0042,g6,-356,0,0,0
13:05,785,0042,g6,-356,0,0,0
13:10,790,0042,g6,-356,0,0,0
13:15,795,0042,g6,-356,0,0,0
13:20,800,0042,g6,-356,0,0,0
13:25,805,0042,g6,-533,-177,-177,-177
13:30,810,0042,g6,-533,0,-177,-177
13:35,815,0042,g6,-533,0,0,-177
13:40,820,0042,g6,-533,0,0,-177
13:45,825,0042,g6,-533,0,0,-177
13:50,830,0042,g6,-1600,-1067,-1067,-1244
13:55,835,0042,g6,-1600,0,-1067,-1067
14:00,840,0042,g6,-1600,0,0,-1067
14:05,845,0042,g6,-1600,0,0,-1067
14:10,850,0042,g6,-1600,0,0,-1067
14:15,855,0042,g6,-1600,0,0,-1067
14:20,860,0042,g6,-1600,0,0,0
14:25,865,0042,g6,-1600,0,0,0
14:30,870,0042,g6,-4267,-2667,-2667,-2667
14:35,875,0042,g6,-4267,0,-2667,-2667
14:40,880,0042,g6,-4267,0,0,-2667
14:45,885,0042,g6,-5156,-889,-889,-3556
14:50,890,0042,g6,-5156,0,-889,-3556
14:55,895,0042,g6,-5156,0,0,-3556
15:00,900,0042,g6,-5156,0,0,-889
15:05,905,0042,g6,-5156,0,0,-889
15:10,910,0042,g6,-5156,0,0,-889
15:15,915,0042,g6,-5156,0,0,0
15:20,920,0042,g6,-5156,0,0,0
15:25,925,0042,g6,-5156,0,0,0
15:30,930,0042,g6,-6400,-1244,-1244,-1244
15:35,935,0042,g6,-6400,0,-1244,-1244
15:40,940,0042,g6,-6400,0,0,-1244
15:45,945,0042,g6,-6400,0,0,-1244
15:50,950,0042,g6,-6400,0,0,-1244
15:55,955,0042,g6,-6400,0,0,-1244
16:00,960,0042,g6,-6400,0,0,0
16:05,965,0042,g6,-6400,0,0,0
16:10,970,0042,g6,-6400,0,0,0
16:15,975,0042,g6,-6400,0,0,0
16:20,980,0042,g6,-6400,0,0,0
