machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,7,16,23,2.2857,7931,-8622,6466
0040,g4,9,20,29,2.2222,24545,-3319,14380
0041,g5,7,15,22,2.1429,12241,-533,2759
0042,g6,0,0,0,,0,-16711,-16711
0043,g7,6,17,23,2.8333,7414,-13689,3793
0044,g8,4,18,22,4.5,13554,-10553,11901
0045,g9,4,6,10,1.5,172,-6667,-3556
0046,g1,4,12,16,3.0,0,-13511,-4267
0047,g2,3,16,19,5.3333,15000,-3911,10345
0048,g3,6,17,23,2.8333,1207,-13333,172
0049,g4,2,8,10,4.0,1121,-4978,-2667
0050,g5,7,17,24,2.4286,17586,0,7759
0051,g6,2,7,9,3.5,3362,-2222,345
0052,g7,8,18,26,2.25,15690,-1778,14138
0053,g8,7,17,24,2.4286,18448,-3378,18448
0054,g9,5,6,11,1.2,1724,-10667,-6222
0055,g1,3,3,6,1.0,0,-12444,-12444
0056,g2,7,15,22,2.1429,9397,-2578,6293
0057,g3,2,1,3,0.5,1983,-24766,-24766
0058,g4,6,16,22,2.6667,5690,-14400,5517
0059,g5,3,13,16,4.3333,4138,-10667,-1244
0060,g6,1,0,1,0.0,0,-22213,-22213
0061,g7,7,15,22,2.1429,6983,-4978,6983
0062,g8,4,4,8,1.0,5345,-16711,-16711
0063,g9,6,3,9,0.5,0,-5333,-4800
0064,g1,6,16,22,2.6667,4655,-6578,2586
0065,g2,4,5,9,1.25,4828,-8178,-8178
0066,g3,5,9,14,1.8,3448,-6311,-2578
0067,g4,4,4,8,1.0,0,-13333,-13333
0068,g5,6,6,12,1.0,2931,-14933,-14933
0069,g6,4,6,10,1.5,690,-10133,-10133
0070,g7,5,10,15,2.0,3534,-7289,-3911
0071,g8,3,10,13,3.3333,8707,-4800,5345
0072,g9,5,28,33,5.6,33077,-4935,27179
0073,g1,2,21,23,10.5,15345,-4444,12069
0074,g2,3,6,9,2.0,0,-12800,-12800
0075,g3,9,19,28,2.1111,16724,-1422,14483
0076,g4,4,3,7,0.75,1034,-11200,-11200
0077,g5,8,8,16,1.0,4483,-4800,-1244
