group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,3,5,8,1.6667
g1,12-15,12:00,15:00,4,15,19,3.75
g1,15-18,15:00,18:00,4,23,27,5.75
g1,18-close,18:00,24:00,4,9,13,2.25
g2,09-12,09:00,12:00,2,1,3,0.5
g2,12-15,12:00,15:00,8,28,36,3.5
g2,15-18,15:00,18:00,3,3,6,1.0
g2,18-close,18:00,24:00,4,10,14,2.5
g3,09-12,09:00,12:00,4,6,10,1.5
g3,12-15,12:00,15:00,10,20,30,2.0
g3,15-18,15:00,18:00,6,14,20,2.3333
g3,18-close,18:00,24:00,9,22,31,2.4444
g4,09-12,09:00,12:00,3,3,6,1.0
g4,12-15,12:00,15:00,11,25,36,2.2727
g4,15-18,15:00,18:00,8,12,20,1.5
g4,18-close,18:00,24:00,3,11,14,3.6667
g5,09-12,09:00,12:00,6,20,26,3.3333
g5,12-15,12:00,15:00,10,13,23,1.3
g5,15-18,15:00,18:00,9,21,30,2.3333
g5,18-close,18:00,24:00,6,5,11,0.8333
g6,09-12,09:00,12:00,1,1,2,1.0
g6,12-15,12:00,15:00,2,7,9,3.5
g6,15-18,15:00,18:00,2,3,5,1.5
g6,18-close,18:00,24:00,2,2,4,1.0
g7,09-12,09:00,12:00,3,1,4,0.3333
g7,12-15,12:00,15:00,9,12,21,1.3333
g7,15-18,15:00,18:00,8,30,38,3.75
g7,18-close,18:00,24:00,6,17,23,2.8333
g8,09-12,09:00,12:00,1,4,5,4.0
g8,12-15,12:00,15:00,5,7,12,1.4
g8,15-18,15:00,18:00,8,21,29,2.625
g8,18-close,18:00,24:00,4,17,21,4.25
g9,09-12,09:00,12:00,1,4,5,4.0
g9,12-15,12:00,15:00,9,26,35,2.8889
g9,15-18,15:00,18:00,4,11,15,2.75
g9,18-close,18:00,24:00,6,2,8,0.3333
