group,machine_count,machines,initial_count,continuation_count,total_hit_count,continuation_per_initial,final_group_close
g1,4,"046,055,064,073",15,52,67,3.4667,-2056
g2,4,"047,056,065,074",17,42,59,2.4706,-4340
g3,5,"039,048,057,066,075",29,62,91,2.1379,-6223
g4,5,"040,049,058,067,076",25,51,76,2.04,-7303
g5,5,"041,050,059,068,077",31,59,90,1.9032,-6903
g6,4,"042,051,060,069",7,13,20,1.8571,-48712
g7,4,"043,052,061,070",26,60,86,2.3077,21003
g8,4,"044,053,062,071",18,49,67,2.7222,18983
g9,4,"045,054,063,072",20,43,63,2.15,12601
