group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,1,3,3,2,9,4
g2,7,7,7,6,4,5
g3,4,2,2,1,6,6
g4,5,4,4,3,3,8
g5,6,1,1,4,2,7
g6,8,9,9,5,8,9
g7,3,5,5,8,5,1
g8,2,6,6,9,7,2
g9,9,8,8,7,1,3
