group,machines,machine_count,initial_hit_count,unique_machines_with_initial_hit,09-12_initial_hit_count,12-15_initial_hit_count,15-18_initial_hit_count,18-close_initial_hit_count,final_total
g1,"046,055,064,073",4,15,4,1,6,5,3,39630
g2,"047,056,065,074",4,23,4,2,8,8,5,16097
g3,"039,048,057,066,075",5,26,5,2,12,4,8,15030
g4,"040,049,058,067,076",5,25,5,5,6,7,7,3017
g5,"041,050,059,068,077",5,18,5,0,7,8,3,-24124
g6,"042,051,060,069",4,15,4,1,4,7,3,-3388
g7,"043,052,061,070",4,11,3,1,3,5,2,3826
g8,"044,053,062,071",4,12,4,0,2,8,2,24654
g9,"045,054,063,072",4,9,4,0,5,0,4,-40355
