group,machine_count,machines,initial_count,continuation_count,total_hit_count,continuation_per_initial,final_group_close
g1,4,"046,055,064,073",15,52,67,3.4667,39630
g2,4,"047,056,065,074",23,59,82,2.5652,16097
g3,5,"039,048,057,066,075",26,65,91,2.5,15030
g4,5,"040,049,058,067,076",25,47,72,1.88,3017
g5,5,"041,050,059,068,077",18,38,56,2.1111,-24124
g6,4,"042,051,060,069",15,43,58,2.8667,-3388
g7,4,"043,052,061,070",11,38,49,3.4545,3826
g8,4,"044,053,062,071",12,46,58,3.8333,24654
g9,4,"045,054,063,072",9,13,22,1.4444,-40355
