group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,4,1,1,7,1,1
g2,3,3,3,4,5,3
g3,6,2,2,3,2,4
g4,9,4,4,2,7,6
g5,7,7,7,5,8,8
g6,1,5,5,1,3,7
g7,8,6,6,6,6,5
g8,5,9,9,8,4,2
g9,2,8,8,9,9,9
