time,minute,initial_5m,continuation_5m,total_5m,initial_10m,continuation_10m,total_10m,initial_30m,continuation_30m,total_30m
09:00,540,0,0,0,0,0,0,0,0,0
09:05,545,0,0,0,0,0,0,0,0,0
09:10,550,0,0,0,0,0,0,0,0,0
09:15,555,0,0,0,0,0,0,0,0,0
09:20,560,0,0,0,0,0,0,0,0,0
09:25,565,0,0,0,0,0,0,0,0,0
09:30,570,0,0,0,0,0,0,0,0,0
09:35,575,0,0,0,0,0,0,0,0,0
09:40,580,0,0,0,0,0,0,0,0,0
09:45,585,0,0,0,0,0,0,0,0,0
09:50,590,0,0,0,0,0,0,0,0,0
09:55,595,0,0,0,0,0,0,0,0,0
10:00,600,0,0,0,0,0,0,0,0,0
10:05,605,0,0,0,0,0,0,0,0,0
10:10,610,0,0,0,0,0,0,2,1,3
10:15,615,0,0,0,0,0,0,2,3,5
10:20,620,0,0,0,0,0,0,3,5,8
10:25,625,0,0,0,0,0,0,3,6,9
10:30,630,0,0,0,2,1,3,3,6,9
10:35,635,2,1,3,2,3,5,4,6,10
10:40,640,0,2,2,1,4,5,2,6,8
10:45,645,1,2,3,1,3,4,3,5,8
10:50,650,0,1,1,0,1,1,2,5,7
10:55,655,0,0,0,1,0,1,2,7,9
11:00,660,1,0,1,1,1,2,3,8,11
11:05,665,0,1,1,1,2,3,3,10,13
11:10,670,1,1,2,1,3,4,4,9,13
11:15,675,0,2,2,0,5,5,4,8,12
11:20,680,0,3,3,1,4,5,5,6,11
11:25,685,1,1,2,2,3,5,6,4,10
11:30,690,1,2,3,2,2,4,6,3,9
11:35,695,1,0,1,2,0,2,6,1,7
11:40,700,1,0,1,2,0,2,6,1,7
11:45,705,1,0,1,2,1,3,6,1,7
11:50,710,1,1,2,2,1,3,7,2,9
11:55,715,1,0,1,2,0,2,10,5,15
12:00,720,1,0,1,2,0,2,9,9,18
12:05,725,1,0,1,2,0,2,9,12,21
12:10,730,1,0,1,3,1,4,13,17,30
12:15,735,2,1,3,6,5,11,12,22,34
12:20,740,4,4,8,4,8,12,10,24,34
12:25,745,0,4,4,1,7,8,6,21,27
12:30,750,1,3,4,6,8,14,7,17,24
12:35,755,5,5,10,5,10,15,7,14,21
12:40,760,0,5,5,0,8,8,4,11,15
12:45,765,0,3,3,0,4,4,6,9,15
12:50,770,0,1,1,1,1,2,6,8,14
12:55,775,1,0,1,2,0,2,8,9,17
13:00,780,1,0,1,3,2,5,8,11,19
13:05,785,2,2,4,4,5,9,8,14,22
13:10,790,2,3,5,2,5,7,8,15,23
13:15,795,0,2,2,2,4,6,9,16,25
13:20,800,2,2,4,3,4,7,10,20,30
13:25,805,1,2,3,2,5,7,13,23,36
13:30,810,1,3,4,3,6,9,12,24,36
13:35,815,2,3,5,5,7,12,13,26,39
13:40,820,3,4,7,4,10,14,12,26,38
13:45,825,1,6,7,6,11,17,9,26,35
13:50,830,5,5,10,5,8,13,8,20,28
13:55,835,0,3,3,2,8,10,6,15,21
14:00,840,2,5,7,3,8,11,7,14,21
14:05,845,1,3,4,1,7,8,5,10,15
14:10,850,0,4,4,0,4,4,7,8,15
14:15,855,0,0,0,3,0,3,8,10,18
14:20,860,3,0,3,4,2,6,10,12,22
14:25,865,1,2,3,1,3,4,7,15,22
14:30,870,0,1,1,3,2,5,10,19,29
14:35,875,3,1,4,4,7,11,10,22,32
14:40,880,1,6,7,3,8,11,10,21,31
14:45,885,2,2,4,2,5,7,12,19,31
14:50,890,0,3,3,4,9,13,10,20,30
14:55,895,4,6,10,4,10,14,12,23,35
15:00,900,0,4,4,3,4,7,11,22,33
15:05,905,3,0,3,6,4,10,12,22,34
15:10,910,3,4,7,3,7,10,9,27,36
15:15,915,0,3,3,2,9,11,9,25,34
15:20,920,2,6,8,5,11,16,11,28,39
15:25,925,3,5,8,4,9,13,12,27,39
15:30,930,1,4,5,1,9,10,12,31,43
15:35,935,0,5,5,3,7,10,11,36,47
15:40,940,3,2,5,5,8,13,13,38,51
15:45,945,2,6,8,5,11,16,11,42,53
15:50,950,3,5,8,6,14,20,10,39,49
15:55,955,3,9,12,3,18,21,9,37,46
16:00,960,0,9,9,2,16,18,8,35,43
16:05,965,2,7,9,3,13,16,8,31,39
16:10,970,1,6,7,2,9,11,6,29,35
16:15,975,1,3,4,3,6,9,6,25,31
16:20,980,2,3,5,4,10,14,6,23,29
16:25,985,2,7,9,2,12,14,4,20,24
16:30,990,0,5,5,0,10,10,4,14,18
16:35,995,0,5,5,1,7,8,4,12,16
16:40,1000,1,2,3,2,3,5,5,8,13
16:45,1005,1,1,2,1,1,2,5,8,13
16:50,1010,0,0,0,2,1,3,5,7,12
16:55,1015,2,1,3,2,4,6,7,8,15
17:00,1020,0,3,3,1,4,5,9,10,19
17:05,1025,1,1,2,2,3,5,10,13,23
17:10,1030,1,2,3,2,2,4,10,16,26
17:15,1035,1,0,1,3,1,4,11,17,28
17:20,1040,2,1,3,6,4,10,12,24,36
17:25,1045,4,3,7,5,9,14,11,32,43
17:30,1050,1,6,7,2,10,12,8,37,45
17:35,1055,1,4,5,3,7,10,8,40,48
17:40,1060,2,3,5,4,10,14,9,43,52
17:45,1065,2,7,9,3,16,19,9,46,55
17:50,1070,1,9,10,2,17,19,8,45,53
17:55,1075,1,8,9,2,17,19,8,40,48
18:00,1080,1,9,10,3,16,19,7,36,43
18:05,1085,2,7,9,4,13,17,7,28,35
18:10,1090,2,6,8,3,12,15,7,25,32
18:15,1095,1,6,7,2,10,12,8,22,30
18:20,1100,1,4,5,1,8,9,7,20,27
18:25,1105,0,4,4,1,5,6,7,19,26
18:30,1110,1,1,2,3,5,8,7,17,24
18:35,1115,2,4,6,5,7,12,7,19,26
18:40,1120,3,3,6,3,7,10,6,16,22
18:45,1125,0,4,4,1,7,8,3,13,16
18:50,1130,1,3,4,1,5,6,4,11,15
18:55,1135,0,2,2,1,5,6,5,9,14
19:00,1140,1,3,4,2,4,6,7,10,17
19:05,1145,1,1,2,1,1,2,6,10,16
19:10,1150,0,0,0,1,2,3,6,11,17
19:15,1155,1,2,3,3,3,6,6,12,18
19:20,1160,2,1,3,4,4,8,5,11,16
19:25,1165,2,3,5,2,6,8,4,11,15
19:30,1170,0,3,3,1,5,6,3,10,13
19:35,1175,1,2,3,1,3,4,4,9,13
19:40,1180,0,1,1,0,2,2,4,11,15
19:45,1185,0,1,1,1,2,3,4,14,18
19:50,1190,1,1,2,2,3,5,4,17,21
19:55,1195,1,2,3,2,4,6,4,20,24
20:00,1200,1,2,3,2,6,8,3,21,24
20:05,1205,1,4,5,1,8,9,3,22,25
20:10,1210,0,4,4,0,8,8,3,20,23
20:15,1215,0,4,4,1,8,9,3,17,20
20:20,1220,1,4,5,1,7,8,3,15,18
20:25,1225,0,3,3,1,6,7,4,13,17
20:30,1230,1,3,4,2,5,7,5,15,20
20:35,1235,1,2,3,1,3,4,6,16,22
20:40,1240,0,1,1,0,3,3,5,17,22
20:45,1245,0,2,2,2,4,6,5,18,23
20:50,1250,2,2,4,3,7,10,6,21,27
20:55,1255,1,5,6,3,9,12,4,24,28
21:00,1260,2,4,6,2,7,9,3,22,25
21:05,1265,0,3,3,0,5,5,2,21,23
21:10,1270,0,2,2,1,7,8,2,19,21
21:15,1275,1,5,6,1,10,11,2,19,21
21:20,1280,0,5,5,0,8,8,2,15,17
21:25,1285,0,3,3,1,6,7,2,11,13
21:30,1290,1,3,4,1,4,5,2,9,11
21:35,1295,0,1,1,0,3,3,1,7,8
21:40,1300,0,2,2,1,3,4,1,6,7
21:45,1305,1,1,2,1,2,3,1,4,5
21:50,1310,0,1,1,0,2,2,0,3,3
21:55,1315,0,1,1,0,2,2,0,2,2
22:00,1320,0,1,1,0,1,1,0,1,1
22:05,1325,0,0,0,0,0,0,0,0,0
22:10,1330,0,0,0,0,0,0,0,0,0
22:15,1335,0,0,0,0,0,0,0,0,0
22:20,1340,0,0,0,0,0,0,0,0,0
22:25,1345,0,0,0,0,0,0,0,0,0
22:30,1350,0,0,0,0,0,0,0,0,0
22:35,1355,0,0,0,0,0,0,0,0,0
22:40,1360,0,0,0,0,0,0,0,0,0
22:45,1365,0,0,0,0,0,0,0,0,0
22:50,1370,0,0,0,0,0,0,0,0,0
22:55,1375,0,0,0,0,0,0,0,0,0
23:00,1380,0,0,0,0,0,0,0,0,0
23:05,1385,0,0,0,0,0,0,0,0,0
23:10,1390,0,0,0,0,0,0,0,0,0
23:15,1395,0,0,0,0,0,0,0,0,0
23:16,1396,0,0,0,0,0,0,0,0,0
23:20,1400,0,0,0,0,0,0,0,0,0
