group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,1,2,3,2.0
g1,12-15,12:00,15:00,6,26,32,4.3333
g1,15-18,15:00,18:00,5,9,14,1.8
g1,18-close,18:00,24:00,3,15,18,5.0
g2,09-12,09:00,12:00,2,5,7,2.5
g2,12-15,12:00,15:00,8,16,24,2.0
g2,15-18,15:00,18:00,8,21,29,2.625
g2,18-close,18:00,24:00,5,17,22,3.4
g3,09-12,09:00,12:00,2,5,7,2.5
g3,12-15,12:00,15:00,12,20,32,1.6667
g3,15-18,15:00,18:00,4,11,15,2.75
g3,18-close,18:00,24:00,8,29,37,3.625
g4,09-12,09:00,12:00,5,3,8,0.6
g4,12-15,12:00,15:00,6,5,11,0.8333
g4,15-18,15:00,18:00,7,23,30,3.2857
g4,18-close,18:00,24:00,7,16,23,2.2857
g5,09-12,09:00,12:00,0,0,0,
g5,12-15,12:00,15:00,7,10,17,1.4286
g5,15-18,15:00,18:00,8,19,27,2.375
g5,18-close,18:00,24:00,3,9,12,3.0
g6,09-12,09:00,12:00,1,1,2,1.0
g6,12-15,12:00,15:00,4,7,11,1.75
g6,15-18,15:00,18:00,7,15,22,2.1429
g6,18-close,18:00,24:00,3,20,23,6.6667
g7,09-12,09:00,12:00,1,1,2,1.0
g7,12-15,12:00,15:00,3,4,7,1.3333
g7,15-18,15:00,18:00,5,20,25,4.0
g7,18-close,18:00,24:00,2,13,15,6.5
g8,09-12,09:00,12:00,0,0,0,
g8,12-15,12:00,15:00,2,1,3,0.5
g8,15-18,15:00,18:00,8,31,39,3.875
g8,18-close,18:00,24:00,2,14,16,7.0
g9,09-12,09:00,12:00,0,0,0,
g9,12-15,12:00,15:00,5,5,10,1.0
g9,15-18,15:00,18:00,0,0,0,
g9,18-close,18:00,24:00,4,8,12,2.0
