machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,2,6,8,3.0,3448,-6844,-6844
0040,g4,7,16,23,2.2857,3793,-9867,3793
0041,g5,5,9,14,1.8,11379,-1244,7931
0042,g6,2,10,12,5.0,0,-18311,-8356
0043,g7,5,11,16,2.2,3966,-9244,3879
0044,g8,3,12,15,4.0,5862,-8711,4310
0045,g9,2,1,3,0.5,0,-10844,-9244
0046,g1,4,11,15,2.75,11724,-1067,8276
0047,g2,4,8,12,2.0,3276,-4711,-3378
0048,g3,7,17,24,2.4286,7069,-4089,2672
0049,g4,4,10,14,2.5,4741,-3200,2328
0050,g5,2,0,2,0.0,0,-25277,-24766
0051,g6,4,18,22,4.5,3276,-18311,3276
0052,g7,2,10,12,5.0,3966,-10489,-178
0053,g8,4,13,17,3.25,6724,-11022,6724
0054,g9,4,11,15,2.75,0,-15467,-8711
0055,g1,1,0,1,0.0,0,-7556,-7556
0056,g2,5,17,22,3.4,1379,-14756,1207
0057,g3,7,12,19,1.7143,11379,-3911,8448
0058,g4,7,2,9,0.2857,2845,-8711,-8089
0059,g5,5,8,13,1.6,6983,-1422,-1422
0060,g6,3,8,11,2.6667,6897,-6756,-6756
0061,g7,0,0,0,,0,-7289,-7289
0062,g8,2,9,11,4.5,5345,-8533,1034
0063,g9,1,0,1,0.0,0,-12800,-12800
0064,g1,6,28,34,4.6667,26033,0,25289
0065,g2,9,23,32,2.5556,22066,0,20579
0066,g3,4,12,16,3.0,1897,-7378,-3556
0067,g4,3,7,10,2.3333,0,-10844,-6222
0068,g5,2,6,8,3.0,1724,-8178,-4089
0069,g6,6,7,13,1.1667,12241,0,8448
0070,g7,4,17,21,4.25,10000,-9778,7414
0071,g8,3,12,15,4.0,13793,-5333,12586
0072,g9,2,1,3,0.5,0,-9600,-9600
0073,g1,4,13,17,3.25,15862,-356,13621
0074,g2,5,11,16,2.2,1466,-7911,-2311
0075,g3,6,18,24,3.0,15172,-5867,14310
0076,g4,4,12,16,3.0,12586,-3022,11207
0077,g5,4,15,19,3.75,0,-14222,-1778
