date,machine,long_x,long_y,long_region,long_top_side,mid_x,mid_y,mid_region,mid_top_side,short_x,short_y,short_region,short_top_side,top_wave_count,top_wave_pattern,centroid_x,centroid_y,centroid_y_offset,centroid_region,bullish,next_day_bullish
2026-06-27,077,339.8374703082369,228.86357090390916,RIGHT,False,232.63872022259568,208.02066247788,LEFT,False,272.4548177063122,84.57858425482452,TOP,True,1,SHORT,281.6436694123816,173.82093921220454,-16.179060787795464,LEFT,False,False
2026-06-28,077,381.0326751321374,181.00526273086325,RIGHT,True,358.99672533652335,216.75938109996943,RIGHT,False,269.3865880403836,232.16395638434904,BOTTOM,False,1,LONG,336.47199616968146,209.97620007172725,19.97620007172725,RIGHT,False,True
2026-06-29,077,357.15469799553887,102.12727605085028,TOP,True,252.84343917633993,94.27991201317978,TOP,True,379.7539629517724,185.27119431888178,RIGHT,True,3,LONG+MID+SHORT,329.91736670788373,127.22612746097063,-62.77387253902937,TOP,True,True
2026-06-30,077,267.2203328080556,86.5650627605354,TOP,True,289.345854993719,235.61102236277978,BOTTOM,False,231.08384449446044,115.49450249365863,TOP,True,2,LONG+SHORT,262.5500107654117,145.8901958723246,-44.1098041276754,TOP,True,False
2026-07-01,077,216.54328624779987,156.63486810299923,LEFT,True,377.35196953831934,130.6946548992979,RIGHT,True,293.67087075280756,235.8657607024254,BOTTOM,False,2,LONG+MID,295.85537551297557,174.3984279015742,-15.601572098425805,TOP,False,False
2026-07-02,077,245.1897827647495,220.1745161053289,LEFT,False,220.9836229914263,187.381781941232,LEFT,True,380.7536848306083,140.4787234910628,RIGHT,True,2,MID+SHORT,282.3090301955947,182.67834051254124,-7.32165948745876,LEFT,False,False
2026-07-03,077,291.48599456693944,235.75462524758012,BOTTOM,False,342.758251496287,227.52810339791688,RIGHT,False,216.39949567474991,161.03967144831253,LEFT,True,1,SHORT,283.54791391265877,208.1074666979365,18.107466697936502,BOTTOM,False,True
2026-07-04,077,334.4599581931469,230.9457462781977,BOTTOM,False,282.1938233170001,81.8817960894128,TOP,True,316.6215063633274,235.01044981480817,BOTTOM,False,1,MID,311.0917626244915,182.61266406080622,-7.387335939193775,RIGHT,True,False
2026-07-05,077,378.3899573267362,189.02995015605967,RIGHT,True,274.83588365541846,233.5454853674693,BOTTOM,False,353.37481636581566,98.86734708949946,TOP,True,2,LONG+SHORT,335.53355244932345,173.81426087100945,-16.185739128990548,RIGHT,False,True
2026-07-06,077,364.3433338460934,109.58870529509896,TOP,True,383.5515463256273,158.5913916533714,RIGHT,True,227.9181519429659,201.4401579384483,LEFT,False,2,LONG+MID,325.27101070489556,156.54008496230622,-33.459915037693776,TOP,True,True
2026-07-07,077,277.35066411282236,83.06686577329998,TOP,True,216.39915056617457,161.58421508242265,LEFT,True,342.43423907421504,227.68384383847103,RIGHT,False,2,LONG+MID,278.7280179177373,157.44497489806454,-32.555025101935456,TOP,True,False
