date,machine,long_phase,mid_phase,short_phase,long_x,long_y,mid_x,mid_y,short_x,short_y,distance_long_mid,distance_mid_short,distance_short_long,mean_pair_distance,max_pair_distance,min_pair_distance,convergence_score,phase_convergence,centroid_x,centroid_y,centroid_region,bullish,next_day_bullish,wave_direction_pattern,phase_alignment_score,high_alignment,repeat_position,repeat_cycle_index
2026-06-27,077,45.70898016926194,284.9771911547996,194.6432328904446,339.8374703082369,228.86357090390916,232.63872022259568,208.02066247788,272.4548177063122,84.57858425482452,109.20622167065208,129.70454230619592,159.24377301482846,132.7181789972255,159.24377301482846,109.20622167065208,0.2761646681144161,False,281.6436694123816,173.82093921220454,LEFT,False,False,UP-DOWN-DOWN,0.16771386325598317,False,0,0
2026-06-28,077,96.33398016926195,65.60219115479958,324.0182328904446,381.0326751321374,181.00526273086325,358.99672533652335,216.75938109996943,269.3865880403836,232.16395638434904,41.999286467116065,90.92457118911885,122.80904160211774,85.24429975278422,122.80904160211774,41.999286467116065,0.4417770836267375,True,336.47199616968146,209.97620007172725,RIGHT,False,True,UP-UP-UP,0.5745625307708665,False,1,0
2026-06-29,077,146.95898016926196,206.22719115479958,93.39323289044461,357.15469799553887,102.12727605085028,252.84343917633993,94.27991201317978,379.7539629517724,185.27119431888178,104.60602200057907,156.159196016727,86.16053575461997,115.64191792397536,156.159196016727,86.16053575461997,0.29018547265124084,False,329.91736670788373,127.22612746097063,TOP,True,True,UP-DOWN-UP,0.7018796949789556,True,2,0
2026-06-30,077,197.58398016926193,346.8521911547996,222.76823289044466,267.2203328080556,86.5650627605354,289.345854993719,235.61102236277978,231.08384449446044,115.49450249365863,150.67925141087656,133.500712405907,46.28993703723316,110.15663361800557,150.67925141087656,46.28993703723316,0.3150943117687429,False,262.5500107654117,145.8901958723246,TOP,True,False,DOWN-UP-DOWN,0.46784803577146267,False,3,0
2026-07-01,077,248.2089801692619,127.47719115479958,352.14323289044466,216.54328624779987,156.63486810299923,377.35196953831934,130.6946548992979,293.67087075280756,235.8657607024254,162.88746815726518,134.40047540765332,110.5721422134839,135.95336192613414,162.88746815726518,110.5721422134839,0.25960241746697643,False,295.85537551297557,174.3984279015742,TOP,False,False,DOWN-DOWN-UP,0.09062197369578238,False,4,0
2026-07-02,077,298.83398016926196,268.1021911547996,121.51823289044455,245.1897827647495,220.1745161053289,220.9836229914263,187.381781941232,380.7536848306083,140.4787234910628,40.7590675179006,166.51237056770293,157.25454175869726,121.50865994810026,166.51237056770293,40.7590675179006,0.24312558832862308,False,282.3090301955947,182.67834051254124,LEFT,False,False,DOWN-DOWN-DOWN,0.34188119701740416,False,5,0
2026-07-03,077,349.4589801692619,48.72719115479936,250.89323289044466,291.48599456693944,235.75462524758012,342.758251496287,227.52810339791688,216.39949567474991,161.03967144831253,51.92802704101146,142.78391630671854,105.92594883744714,100.21263072839237,142.78391630671854,51.92802704101146,0.3509821986058248,False,283.54791391265877,208.1074666979365,BOTTOM,False,True,UP-UP-DOWN,0.456065620819976,False,6,0
2026-07-04,077,40.08398016926196,189.35219115479958,20.26823289044455,334.4599581931469,230.9457462781977,282.1938233170001,81.8817960894128,316.6215063633274,235.01044981480817,157.961419659283,156.95110688265441,18.295687429701157,111.06940465721284,157.961419659283,18.295687429701157,0.28199354700325907,False,311.0917626244915,182.61266406080622,RIGHT,True,False,UP-DOWN-UP,0.36493927186398045,False,7,0
2026-07-05,077,90.70898016926196,329.9771911547998,149.64323289044455,378.3899573267362,189.02995015605967,274.83588365541846,233.5454853674693,353.37481636581566,98.86734708949946,112.71680907958205,155.90562812582573,93.56843628613666,120.73029116384815,155.90562812582573,93.56843628613666,0.2913380539735194,False,335.53355244932345,173.81426087100945,RIGHT,False,True,UP-UP-DOWN,0.3350019642397479,False,8,0
2026-07-06,077,141.33398016926185,110.60219115479936,279.01823289044455,364.3433338460934,109.58870529509896,383.5515463256273,158.5913916533714,227.9181519429659,201.4401579384483,52.63286707928937,161.4241934135716,164.4643414542948,126.17380064905193,164.4643414542948,52.63286707928937,0.25243481157138725,False,325.27101070489556,156.54008496230622,TOP,True,True,UP-DOWN-DOWN,0.3772683318792841,False,9,0
2026-07-07,077,191.95898016926185,251.22719115479958,48.39323289044455,277.35066411282236,83.06686577329998,216.39915056617457,161.58421508242265,342.43423907421504,227.68384383847103,99.39849669968844,142.31656423943426,158.5873326418519,133.4341311936582,158.5873326418519,99.39849669968844,0.2791484879915823,False,278.7280179177373,157.44497489806454,TOP,True,False,DOWN-DOWN-UP,0.2515938946807428,False,10,0
