source_date,target_date,machine,comparison_scope,source_regime,source_n_fft,source_component_reorder,source_bullish,target_bullish,transformation_type,best_permutation,identity_distance,best_permutation_distance,permutation_improvement,best_rotation_deg,rotation_residual,inversion_distance,inversion_improvement_vs_identity,vertical_mirror_distance,horizontal_mirror_distance,best_mirror_type,best_mirror_distance,best_rotation_permutation,best_rotation_plus_swap_deg,best_transformation_distance,transformation_improvement,classification_confidence,shape_similarity,centroid_distance,centroid_region_match,predicted_centroid_region,actual_centroid_region,identity_distance_threshold,identity_centroid_threshold,source_top_wave_count,source_top_wave_pattern,source_centroid_region,source_phase_alignment_score,source_convergence_score,source_long_k,source_mid_k,source_short_k,source_perimeter,source_area,predicted_perimeter,actual_perimeter,predicted_area,actual_area,area_ratio,predicted_long_mid_side,actual_long_mid_side,long_mid_side_ratio,predicted_mid_short_side,actual_mid_short_side,mid_short_side_ratio,predicted_short_long_side,actual_short_long_side,short_long_side_ratio,predicted_long_phase,actual_long_phase,long_angular_error,long_xy_distance,predicted_long_x,predicted_long_y,actual_long_x,actual_long_y,transformed_long_x,transformed_long_y,predicted_mid_phase,actual_mid_phase,mid_angular_error,mid_xy_distance,predicted_mid_x,predicted_mid_y,actual_mid_x,actual_mid_y,transformed_mid_x,transformed_mid_y,predicted_short_phase,actual_short_phase,short_angular_error,short_xy_distance,predicted_short_x,predicted_short_y,actual_short_x,actual_short_y,transformed_short_x,transformed_short_y
2026-07-17,2026-07-18,077,HISTORICAL_BACKTEST,TRANSITION,32,False,False,False,ROTATION,LONG_SHORT_SWAP,194.37942353473176,168.2293367860849,0.1345311467289867,58.88991781626548,152.24478447939083,334.1957282450957,0.0,323.3827990947917,212.33373769783958,HORIZONTAL,212.33373769783958,IDENTITY,58.88991781626548,152.24478447939083,0.21676491415158616,0.19965772641914684,0.92107953540638,51.82182544448811,False,RIGHT,BOTTOM,232.5543946094961,1.115967349980439,1,SHORT,TOP,0.17226256078478053,0.33315820502837434,7,11,13,424.41295647773813,8643.807090671435,393.30163461134646,191.08431658075932,6622.193853014352,508.4910222391643,0.07678588599572703,163.10451483386208,94.32425967333711,0.5783056328601057,113.31142235118568,46.90256748907667,0.41392620898987315,116.88569742629868,49.85748941834554,0.42654910323637135,146.45266048879466,54.627230140220945,91.82543034857372,122.02328991552912,357.84319895852235,102.76514622584244,348.4964211663579,224.42993581885975,404.5750588970362,194.45111620105232,295.7086824026828,308.12811121189225,12.419428809209421,14.467319506959816,242.2284712099556,217.814342167467,254.18457529555903,225.9601944132837,246.33639847606264,154.9086187158737,61.91600653391106,4.547473508864641e-13,61.916006533910604,57.88881411224283,355.52538019973383,219.62786046367646,300.00000000000034,236.0,303.32240696921116,252.84774915548698
2026-07-18,2026-07-19,077,HISTORICAL_BACKTEST,UNSTABLE,32,True,False,True,IRREGULAR,3_CYCLE_A,342.82074577982166,7.7970732418218205,0.9772561219301776,51.46896778722996,320.9318774361782,415.1627477973556,0.0,309.7660212013657,459.0837312104229,VERTICAL,309.7660212013657,3_CYCLE_A,-0.22982372336892867,7.7970732418218205,0.9772561219301776,0.6329751249305373,0.6477064821864188,2.5533814003537225,True,TOP,TOP,232.5543946094961,1.115967349980439,0,NONE,BOTTOM,0.7321680150032989,0.571253365121195,11,13,16,191.08431658075932,508.4910222391643,345.5050152767111,339.7313599042055,2818.7594969569845,2593.4675771308034,0.9200740893043919,159.72964861922173,37.375287062451164,0.23399091768836117,39.53341792689768,144.08117871267572,3.6445414099813016,146.2419487305917,158.2748941290786,1.0822810794230737,71.87811121189225,199.70801572554092,127.82990451364867,159.20614914024705,364.67141096366686,211.16522470719673,263.5371493193632,88.2080815811135,261.5483607580892,89.1849100481586,200.87723014022095,180.0,20.877230140220945,39.53341792689851,261.5483607580892,89.1849100481586,300.0,80.0,299.99999999999915,80.0,180.00000000000045,76.10336113499125,103.89663886500921,144.08117871267612,299.99999999999915,80.0,368.25645899709895,206.8875165822523,364.67141096366686,211.16522470719673
2026-07-19,2026-07-20,077,HISTORICAL_BACKTEST,TRANSITION,32,True,True,True,ROLE_SWAP,LONG_MID_SWAP,443.50458456406477,152.0195180121496,0.6572312366024928,-165.24697309609627,211.92963046890628,219.23896698248456,0.5056669657699666,454.17907900644514,195.12280519574307,HORIZONTAL,195.12280519574307,3_CYCLE_B,-3.0207993539262503,152.0195180121496,0.6572312366024928,0.5238572547376711,0.7970668853868108,49.41124948588222,False,LEFT,TOP,232.5543946094961,1.115967349980439,2,LONG+MID,TOP,0.6051249763367721,0.2805686630496427,11,13,16,339.7313599042055,2593.4675771308034,312.9574766579046,394.01240959345665,833.0259927092347,6705.615640442372,8.049707571109305,149.387484978351,150.92978021373534,1.0103241261181137,11.401882212301626,94.31309679781177,8.271712954204723,152.16810946725192,148.76953258190954,0.9776656429705215,199.85336113499125,344.1692735363804,144.31591240138914,149.01429360063153,263.28837543913335,88.32674527545775,287.1202805819301,235.42297226500347,288.6068800772884,235.55308120434233,345.9580157255409,196.02573506409408,149.93228066144684,151.2349829829894,288.6068800772884,235.55308120434233,269.97571704688255,85.47010468135511,263.28837543913335,88.32674527545775,0.0,143.37906877631508,143.37906877631508,143.2553079804438,300.0,236.0,361.8489000298839,106.783914199256,300.0,236.0
2026-07-20,2026-07-21,077,HISTORICAL_BACKTEST,UNSTABLE,32,True,True,False,ROLE_SWAP,LONG_SHORT_SWAP,263.8619750625852,0.49915047913577526,0.9981082894607403,0.06752704779279106,263.80729953010257,419.4095554797241,0.0,136.9973189669166,484.83338923193406,VERTICAL,136.9973189669166,LONG_SHORT_SWAP,0.025399851054113687,0.4740934507369367,0.9982032520956289,0.9523820937071652,0.9540963643503798,0.10953638862511039,True,TOP,TOP,232.5543946094961,1.115967349980439,2,MID+SHORT,TOP,0.2676935372003308,0.3139555444830212,6,11,13,394.01240959345665,6705.615640442372,416.7024169119614,416.6225055634177,8237.625810487294,8231.846278103982,0.9992983982865603,132.8585576249043,151.9575669341672,1.1437544532372885,151.8525800719833,132.91150984719206,0.8752667210803232,131.99127921507377,131.75342878205842,0.998197983727184,210.87906877631508,130.51818507609596,80.36088370021912,131.8827526669948,245.8729081981116,99.48519569876399,375.10018343506147,125.81714940253097,375.2072528221524,126.00747565079901,319.7757350640941,319.65893806120266,0.11679700289141692,0.11709860883585399,265.4072652188384,230.89982665725657,265.2966610108378,230.8613715748376,265.3891372742961,230.88448729794592,130.4192735363804,210.76826269631488,80.34898915993449,131.86212378675455,375.1788768411336,125.97414173520286,246.03183683480492,99.35344025764755,245.9130397266138,99.46120945690598
2026-07-21,2026-07-22,077,HISTORICAL_BACKTEST,STABLE,32,False,False,True,NO_CLEAR_TRANSFORM,IDENTITY,22.129160456373576,22.129160456373576,0.0,1.632003176930733,20.345828514525593,452.062541046028,0.0,451.0362500169886,37.49950188639967,HORIZONTAL,37.49950188639967,LONG_SHORT_SWAP,1.6320954670160437,20.343992104284766,0.08067040571232564,0.0801450395064981,0.9934874976617692,6.639295240193333,True,LEFT,LEFT,232.5543946094961,1.115967349980439,2,LONG+SHORT,TOP,0.2821676659518503,0.30928378666287637,6,11,13,416.6225055634177,8231.846278103982,296.135595255091,307.84478398334477,133.44006225225007,12.716221585474411,0.09529538109354405,146.48491327175867,153.86923566848904,1.0504101223245494,147.54730370334508,153.7938424234442,1.0423358378182108,2.1033782799872696,0.18170589141155138,0.08638764274614985,278.2682626963149,272.3334880502466,5.934774646068263,8.43965334102277,227.36478764348692,200.55524444195962,223.36650498731055,193.12278291713784,226.0693201808263,196.6450785982073,83.40893806120266,88.65927822066033,5.250340159457664,7.53211343074881,373.8357196348358,198.53141198340379,377.2301191287063,191.80751543380708,373.5627776038055,200.63090944546576,276.76818507609596,272.45882800249615,4.309357073599813,6.157393684601996,226.28857496622362,198.74804592989184,223.44339715141479,193.287417743566,227.09362437469773,198.48219620661988
2026-07-22,2026-07-23,077,HISTORICAL_BACKTEST,STABLE,32,False,True,False,ROLE_SWAP,3_CYCLE_B,366.4863310835303,17.981549370108738,0.9509352795861564,-133.24475053229355,167.12106330316348,219.95388033182337,0.3998306030090627,297.6563240275982,288.3110624824349,HORIZONTAL,288.3110624824349,3_CYCLE_B,-2.855814318995581,15.77536218532721,0.9569551144276329,0.7089146180112063,0.7408023713162525,5.28852164917621,True,LEFT,LEFT,232.5543946094961,1.115967349980439,0,NONE,LEFT,0.33474735199671907,0.30059438332504984,6,11,13,307.84478398334477,12.716221585474411,371.81508340341003,359.22676610556437,4856.770732207415,4185.413318295672,0.8617687655174513,139.5080623255665,63.282867678243264,0.4536144121230901,162.31713006699397,135.21288668383224,0.833016740919613,69.98989101084956,160.73101174348884,2.2964889560775705,339.95882800249615,53.360203494551115,73.40137549205497,64.45410719256812,283.57197230080027,235.03491766896795,347.2639247795322,225.15224983897315,353.8578813059458,219.31636182831556,212.40927822066033,341.38322315545634,128.973944934796,139.99668644296486,243.71540741870155,101.34141113393386,284.7805762315342,235.17983657813645,285.8361370636981,235.79747689838436,58.583488050246615,218.25398759861446,159.67049954836784,162.0355374479973,352.3303728555798,221.96329967963348,236.14797046214147,109.01568009360362,239.36809588442992,104.25577019364384
2026-07-23,2026-07-24,077,HISTORICAL_BACKTEST,TRANSITION,32,True,False,False,ROLE_SWAP,3_CYCLE_B,368.23307781275946,2.5913874509165016,0.9929626434802954,-133.73345568357664,174.8894531054739,228.88195535648686,0.37843184345087644,326.26874111897894,263.2602210092961,HORIZONTAL,263.2602210092961,3_CYCLE_B,0.09498900508930151,2.4240583007672356,0.9934170544504972,0.7191656413832509,0.7239312413264871,0.5981914838592168,True,TOP,TOP,232.5543946094961,1.115967349980439,1,SHORT,LEFT,0.2570885576755376,0.2694044920750508,6,11,13,359.22676610556437,4185.413318295672,367.0815570425934,368.9560905360514,4321.202831468161,4454.710484893749,1.03089594694638,58.128610646360855,160.28269930762866,2.757380531297167,148.68710243544854,59.8765141735031,0.40270146631916554,160.265843960784,148.7968770549197,0.9284378591069555,48.883223155456335,199.21121067019612,150.3279875147398,160.2070111445944,342.9096937297573,227.4546433344657,264.39071863556114,87.80845838821948,263.87374716627653,88.0686374702709,342.00398759861446,50.16770338866695,68.16371579005249,59.450203412265196,285.3045995375109,235.23850476557035,344.15757177702557,226.8328909072834,342.8475398258446,227.52573056139306,199.61020349455111,341.4855816357308,141.87537814117968,148.57586325589986,263.7048078519084,88.1286701868171,284.8670937266258,235.18969425095378,285.22962016703207,235.2140795302449
2026-07-24,2026-07-25,077,HISTORICAL_BACKTEST,STABLE,32,False,False,False,IRREGULAR,3_CYCLE_B,244.69003027217659,26.764346296162074,0.8906193837714138,-15.674688319710969,249.3082299355827,324.9765122687835,0.0,369.75901034683534,246.13343306385616,HORIZONTAL,246.13343306385616,3_CYCLE_B,6.767662682360864,15.836627026570156,0.9352788219080501,0.5526943396154348,0.5909407191407267,8.505121843504776,True,RIGHT,RIGHT,232.5543946094961,1.115967349980439,1,LONG,TOP,0.21859850363786296,0.27144227587441516,6,11,13,368.9560905360514,4454.710484893749,266.7801714671997,249.80917637809858,1009.9210767281085,903.990365918231,0.8951099118031416,20.442380211486693,121.32871751627772,5.935156095379853,117.10465385901152,21.222593536200392,0.18122758436015185,129.2331373967015,107.25786532562046,0.8299563678963819,117.66770338866695,346.7710926455193,130.89661074314768,128.50668324858765,382.2410605050758,146.88159621930873,289.27894136185057,235.60595614347858,282.91328380551363,233.81058301581146,105.2355816357308,110.1974409649738,4.961859329242998,8.039600111179167,383.3722461030862,167.29265517894717,383.57248859681147,159.25554917669868,386.7492440747428,156.87361429230526,345.4612106701961,96.77983142574385,111.31862075554773,108.14374691240978,288.19513465563506,235.51887749821654,381.20588026707446,180.3457753826073,385.4672365927031,177.27575549187
2026-07-25,2026-07-26,077,HISTORICAL_BACKTEST,STABLE,32,False,False,False,ROTATION,3_CYCLE_B,259.31675866384774,165.58602754832177,0.3614526558116866,50.190692754644544,74.61941714963454,524.9117122855089,0.0,321.9491017821789,431.9703807017922,VERTICAL,321.9491017821789,IDENTITY,50.190692754644544,74.61941714963454,0.7122460671877991,0.6944382281796078,0.9749976309753411,55.123983554325626,True,TOP,TOP,232.5543946094961,1.115967349980439,2,MID+SHORT,RIGHT,0.5924856388314022,0.4485058294714649,6,11,13,249.80917637809858,903.990365918231,297.95145672225954,327.64344826519044,2582.1002624352104,3718.5013780551526,1.440107277069167,77.84450185002991,82.80936555454001,1.0637792469155378,139.8153349977387,148.34923630417893,1.0610369478181936,80.29161987449096,96.4848464064715,1.201680157372503,177.6974409649738,131.41671246666192,46.28072849831187,82.78851050886622,304.41836818284077,80.1146296997547,374.3686173997378,124.39668144502336,387.2404841205198,123.04169570666753,220.52983142574385,177.70990761293592,42.81992381280793,77.823243224618,233.50656685021573,112.22822339528541,304.394469921864,80.11339217818808,317.17129757566886,89.12893166092525,133.02109264551927,62.56550786164371,70.45558478387557,98.70500493036354,372.9878437736094,121.88748259821894,356.14256499121046,219.14443392328542,399.0519769143908,202.45978470438948
2026-07-26,2026-07-27,077,HISTORICAL_BACKTEST,TRANSITION,32,True,False,False,ROTATION_PLUS_ROLE_SWAP,LONG_MID_SWAP,232.5543946094961,143.86337919884647,0.3813775076561293,-27.126057618597777,220.74241934030158,397.5364600529796,0.0,470.39832226400586,119.55529560425083,HORIZONTAL,119.55529560425083,MID_SHORT_SWAP,-37.50294365062796,82.3088237306648,0.6460663585012991,0.5995952671361711,0.9280707147901517,47.73704810718786,True,LEFT,LEFT,232.5543946094961,1.115967349980439,2,LONG+MID,TOP,0.6874846986362612,0.32568528952645937,6,13,14,327.64344826519044,3718.5013780551526,181.3060729909014,225.85905642611766,608.9640789873065,1215.7379450089754,1.996403379047776,49.17856209574955,47.095787948422355,0.9576487384224028,88.55820427506043,108.24164134855157,1.222265539761338,43.56930662009143,70.52162712914374,1.6186079742803066,245.20990761293592,279.5953556515069,34.385448038570985,51.70330622061481,217.00667439906553,151.66911371077785,228.35067161343082,202.11260289762077,210.82363626137274,210.11778040381324,277.6667124666619,248.1387844866481,29.52792798001383,44.543157310986714,226.92822298315252,199.83646617589778,216.55044885889913,156.51909474759796,199.9131002191118,167.93668650351157,220.0655078616437,348.09520440855977,128.02969654691606,136.30793107789455,234.03104768656766,111.56356305350191,290.36886063440545,235.68408072479787,248.01900921823395,242.2897433592422
