scope,samples,mean_predicted_probability,actual_transform_count,actual_transform_rate,brier_score
overall,31,0.7256746031746032,23,0.7419354838709677,0.24724740173847318
0-20%,0,,0,,
20-40%,2,0.3333333333333333,2,1.0,0.44444444444444453
40-60%,7,0.5428571428571428,6,0.8571428571428571,0.24000000000000002
60-80%,12,0.6919642857142857,6,0.5,0.32071109693877553
80-100%,9,1.0,8,0.8888888888888888,0.1111111111111111
NO_SUPPORT,1,,1,1.0,
