date,machine,open,high,low,close,bullish,next_day_bullish,wave1_phase,wave2_phase,wave3_phase,wave1_value,wave2_value,wave3_value,combined_wave,wave1_direction,wave2_direction,wave3_direction,wave1_up,wave2_up,wave3_up,wave_direction_pattern
2026-06-27,077,0.0,122.0,-16049.0,-4074.0,False,False,40.25230873275561,281.92775113120274,191.94740112745296,-4211.906615332352,-1130.5063169960777,5298.134968012105,-44.27796431632487,rising,falling,falling,True,False,False,UP-DOWN-DOWN
2026-06-28,077,0.0,4011.0,-39438.0,-39438.0,False,True,90.87730873275561,62.55275113120268,321.32240112745296,84.49860911538795,-2521.2456902895187,-4227.700675349627,-6664.447756523758,rising,turning_up,turning_up,True,True,True,UP-UP-UP
2026-06-29,077,0.0,21429.0,-108.0,15321.0,True,True,141.5023087327556,203.17775113120274,90.69740112745296,4319.117315620293,5028.404865175171,65.91486377971808,9413.437044575183,rising,turning_down,rising,True,False,True,UP-DOWN-UP
2026-06-30,077,0.0,5172.0,-7022.0,4310.0,True,False,192.1273087327556,343.80275113120274,220.07240112745308,5395.539427973466,-5252.773358751385,4144.0687815327965,4286.834850754878,turning_down,turning_up,turning_down,False,True,False,DOWN-UP-DOWN
2026-07-01,077,0.0,0.0,-9067.0,-7556.0,False,False,242.7523087327556,124.42775113120274,349.44740112745296,2526.6706394727553,3092.4925657450594,-5323.853672012974,295.3095332048406,falling,turning_down,turning_up,False,False,True,DOWN-DOWN-UP
2026-07-02,077,0.0,5862.0,-5867.0,-5511.0,False,False,293.37730873275564,265.05275113120285,118.82240112745296,-2189.733658023507,471.71519821641914,2610.7652492571906,892.7467894501028,falling,falling,turning_down,False,False,False,DOWN-DOWN-DOWN
2026-07-03,077,0.0,1379.0,-12444.0,-6222.0,False,True,344.0023087327556,45.67775113120251,248.19740112745308,-5304.975292987166,-3821.7741242078087,2011.349790699793,-7115.399626495181,turning_up,turning_up,falling,True,True,False,UP-UP-DOWN
2026-07-04,077,0.0,16379.0,-7467.0,14138.0,True,False,34.62730873275558,186.30275113120274,17.57240112745285,-4541.147739026744,5436.827498591273,-5162.738847905005,-4267.059088340476,rising,turning_down,turning_up,True,False,True,UP-DOWN-UP
2026-07-05,077,0.0,3362.0,-8444.0,-444.0,False,True,85.25230873275564,326.92775113120274,146.94740112745285,-456.7719630798124,-4583.674854874266,4539.063915303576,-501.3829026505023,rising,turning_up,turning_down,True,True,False,UP-UP-DOWN
2026-07-06,077,0.0,8534.0,-4178.0,6466.0,True,True,135.87730873275558,107.55275113120251,276.32240112745285,3961.601607482584,1649.6296566761876,-596.3644806112524,5014.866783547519,rising,rising,falling,True,True,False,UP-UP-DOWN
2026-07-07,077,0.0,3017.0,-5956.0,690.0,True,False,186.50230873275564,248.17775113120274,45.69740112745285,5483.198871717526,2033.312917298499,-3782.404672476539,3734.1071165394865,turning_down,turning_down,turning_up,False,False,True,DOWN-DOWN-UP
2026-07-08,077,0.0,0.0,-18667.0,-10311.0,False,True,237.12730873275564,28.80275113120274,175.07240112745285,2995.407472419966,-4793.173936734647,5395.428725027868,3597.6622607131862,falling,turning_up,turning_down,False,True,False,DOWN-UP-DOWN
2026-07-09,077,0.0,25785.0,-4851.0,21570.0,True,False,287.7523087327555,169.4277511312025,304.44740112745285,-1682.6661040438664,5377.034198464901,-3063.2428242060705,631.1252702149643,falling,turning_down,turning_up,False,False,True,DOWN-DOWN-UP
2026-07-10,077,0.0,0.0,-16889.0,-13689.0,False,True,338.37730873275564,310.05275113120297,73.82240112745308,-5130.351624210442,-3519.833350269962,-1508.8273741502528,-10159.012348630657,turning_up,turning_up,rising,True,True,True,UP-UP-UP
2026-07-11,077,0.0,16897.0,-6578.0,15000.0,True,False,29.002308732755637,90.67775113120342,203.19740112745285,-4826.65512755044,64.70174924203481,4977.622730452446,215.66935214404134,rising,rising,turning_down,True,True,False,UP-UP-DOWN
2026-07-12,077,0.0,0.0,-13867.0,-13867.0,False,False,79.62730873275552,231.3027511312025,332.57240112745285,-993.6435715736093,3419.8030932400975,-4806.713488448421,-2380.553966781933,rising,turning_down,turning_up,True,False,True,UP-DOWN-UP
2026-07-13,077,0.0,5487.0,-14795.0,-14795.0,False,True,130.25230873275552,11.927751131202513,101.9474011274533,3565.933510233093,-5351.788828275641,1121.0707814885423,-664.7845365540061,rising,turning_up,rising,True,True,True,UP-UP-UP
