regime,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate,avg_long_period,avg_mid_period,avg_short_period,avg_alignment,avg_convergence
INSUFFICIENT_HISTORY,20,8,40.0,20,8,40.0,,,,,
STABLE,14,4,28.57142857142857,14,4,28.57142857142857,5.665445665445666,2.6673593073593076,2.461538461538462,0.3780816903347523,0.32322310606235444
TRANSITION,11,6,54.54545454545454,10,4,40.0,5.255027800482346,2.6787370205552024,2.4035964035964037,0.48348050607270954,0.34282546032640626
UNSTABLE,5,1,20.0,5,3,60.0,5.477544677544677,3.082741258741259,2.388923076923077,0.5103910262721982,0.3522111881740855
