n_fft,regime,top_wave_count,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
32,STABLE,2+,2,0,0.0,2,1,50.0
32,TRANSITION,2+,2,1,50.0,2,1,50.0
32,UNSTABLE,2+,1,1,100.0,1,0,0.0
64,STABLE,2+,8,6,75.0,8,3,37.5
64,TRANSITION,2+,4,3,75.0,4,1,25.0
64,UNSTABLE,2+,3,1,33.33333333333333,3,2,66.66666666666666
