n_fft,top_wave_count,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
32,0,2,1,50.0,2,1,50.0
32,1,5,1,20.0,5,1,20.0
32,2,5,2,40.0,5,2,40.0
32,3,0,0,,0,0,
32,2+,5,2,40.0,5,2,40.0
64,0,3,1,33.33333333333333,3,1,33.33333333333333
64,1,11,1,9.090909090909092,10,5,50.0
64,2,10,8,80.0,10,3,30.0
64,3,5,2,40.0,5,3,60.0
64,2+,15,10,66.66666666666666,15,6,40.0
