centroid_region,phase_convergence,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
TOP,False,17,11,64.70588235294117,17,6,35.294117647058826
TOP,True,3,2,66.66666666666666,3,1,33.33333333333333
RIGHT,False,15,7,46.666666666666664,14,9,64.28571428571429
RIGHT,True,2,1,50.0,2,1,50.0
BOTTOM,False,1,0,0.0,1,0,0.0
BOTTOM,True,5,0,0.0,5,3,60.0
LEFT,False,15,3,20.0,15,3,20.0
LEFT,True,3,0,0.0,3,1,33.33333333333333
