category,value,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
LONG_REGION,TOP,10,5,50.0,10,6,60.0
LONG_REGION,RIGHT,10,3,30.0,10,5,50.0
LONG_REGION,BOTTOM,9,3,33.33333333333333,8,1,12.5
LONG_REGION,LEFT,9,5,55.55555555555556,9,4,44.44444444444444
LONG_SIDE,TOP,18,8,44.44444444444444,18,11,61.111111111111114
LONG_SIDE,BOTTOM,20,8,40.0,19,5,26.31578947368421
MID_REGION,TOP,10,5,50.0,10,3,30.0
MID_REGION,RIGHT,12,6,50.0,11,4,36.36363636363637
MID_REGION,BOTTOM,7,2,28.57142857142857,7,4,57.14285714285714
MID_REGION,LEFT,9,3,33.33333333333333,9,5,55.55555555555556
MID_SIDE,TOP,20,11,55.00000000000001,20,8,40.0
MID_SIDE,BOTTOM,18,5,27.77777777777778,17,8,47.05882352941176
SHORT_REGION,TOP,11,6,54.54545454545454,11,4,36.36363636363637
SHORT_REGION,RIGHT,9,5,55.55555555555556,9,5,55.55555555555556
SHORT_REGION,BOTTOM,11,2,18.181818181818183,10,5,50.0
SHORT_REGION,LEFT,7,3,42.857142857142854,7,2,28.57142857142857
SHORT_SIDE,TOP,17,9,52.94117647058824,17,6,35.294117647058826
SHORT_SIDE,BOTTOM,21,7,33.33333333333333,20,10,50.0
CENTROID_REGION,TOP,15,6,40.0,15,7,46.666666666666664
CENTROID_REGION,RIGHT,10,5,50.0,10,4,40.0
CENTROID_REGION,BOTTOM,3,0,0.0,2,1,50.0
CENTROID_REGION,LEFT,10,5,50.0,10,4,40.0
TOP_WAVE_COUNT,0,5,2,40.0,4,2,50.0
TOP_WAVE_COUNT,1,15,2,13.333333333333334,15,6,40.0
TOP_WAVE_COUNT,2,14,10,71.42857142857143,14,5,35.714285714285715
TOP_WAVE_COUNT,3,4,2,50.0,4,3,75.0
TOP_WAVE_COUNT,2+,18,12,66.66666666666666,18,8,44.44444444444444
