machine,source_date,target_date,source_regime,source_n_fft,selected_support_level,support_samples,transform_samples,non_transform_samples,transform_probability,confidence,most_likely_transform_type,conditional_type_probability,selection_basis,geometry_distance_threshold,actual_transform,actual_transformation_type,actual_bullish,probability_bucket,status
077,2026-07-17,2026-07-18,TRANSITION,32,LEVEL_4,0,0,0,,LOW,,,same machine historical transformation records,0.35,True,ROTATION,False,NO_SUPPORT,WALK_FORWARD_VALIDATION
077,2026-07-18,2026-07-19,UNSTABLE,32,LEVEL_4,1,1,0,1.0,LOW,ROTATION,1.0,same machine historical transformation records,0.35,False,IRREGULAR,True,80-100%,WALK_FORWARD_VALIDATION
077,2026-07-19,2026-07-20,TRANSITION,32,LEVEL_4,2,1,1,0.5,LOW,ROTATION,1.0,same machine historical transformation records,0.35,True,ROLE_SWAP,True,40-60%,WALK_FORWARD_VALIDATION
077,2026-07-20,2026-07-21,UNSTABLE,32,LEVEL_4,3,2,1,0.6666666666666666,MEDIUM,ROLE_SWAP,0.5,same machine historical transformation records,0.35,True,ROLE_SWAP,False,60-80%,WALK_FORWARD_VALIDATION
077,2026-07-21,2026-07-22,STABLE,32,LEVEL_4,4,3,1,0.75,MEDIUM,ROLE_SWAP,0.6666666666666666,same machine historical transformation records,0.35,False,NO_CLEAR_TRANSFORM,True,60-80%,WALK_FORWARD_VALIDATION
077,2026-07-22,2026-07-23,STABLE,32,LEVEL_4,5,3,2,0.6,MEDIUM,ROLE_SWAP,0.6666666666666666,same machine historical transformation records,0.35,True,ROLE_SWAP,False,40-60%,WALK_FORWARD_VALIDATION
077,2026-07-23,2026-07-24,TRANSITION,32,LEVEL_4,6,4,2,0.6666666666666666,HIGH,ROLE_SWAP,0.75,same machine historical transformation records,0.35,True,ROLE_SWAP,False,60-80%,WALK_FORWARD_VALIDATION
077,2026-07-24,2026-07-25,STABLE,32,LEVEL_4,7,5,2,0.7142857142857143,HIGH,ROLE_SWAP,0.8,same machine historical transformation records,0.35,False,IRREGULAR,False,60-80%,WALK_FORWARD_VALIDATION
077,2026-07-25,2026-07-26,STABLE,32,LEVEL_2,3,1,2,0.3333333333333333,MEDIUM,ROLE_SWAP,1.0,same machine + same regime + same n_fft,0.35,True,ROTATION,False,20-40%,WALK_FORWARD_VALIDATION
077,2026-07-26,2026-07-27,TRANSITION,32,LEVEL_2,3,3,0,1.0,MEDIUM,ROLE_SWAP,0.6666666666666666,same machine + same regime + same n_fft,0.35,True,ROTATION_PLUS_ROLE_SWAP,False,80-100%,WALK_FORWARD_VALIDATION
077,2026-07-27,2026-07-28,TRANSITION,32,LEVEL_2,4,4,0,1.0,MEDIUM,ROLE_SWAP,0.5,same machine + same regime + same n_fft,0.35,True,ROLE_SWAP,True,80-100%,WALK_FORWARD_VALIDATION
077,2026-07-28,2026-07-29,TRANSITION,32,LEVEL_2,5,5,0,1.0,MEDIUM,ROLE_SWAP,0.6,same machine + same regime + same n_fft,0.35,True,ROTATION_PLUS_ROLE_SWAP,False,80-100%,WALK_FORWARD_VALIDATION
077,2026-07-29,2026-07-30,UNSTABLE,64,LEVEL_4,12,9,3,0.75,HIGH,ROLE_SWAP,0.5555555555555556,same machine historical transformation records,0.35,False,IRREGULAR,True,60-80%,WALK_FORWARD_VALIDATION
077,2026-07-30,2026-07-31,TRANSITION,64,LEVEL_3,6,6,0,1.0,HIGH,ROLE_SWAP,0.5,same machine + same regime,0.35,True,ROLE_SWAP,False,80-100%,WALK_FORWARD_VALIDATION
077,2026-07-31,2026-08-01,STABLE,64,LEVEL_3,4,2,2,0.5,MEDIUM,ROLE_SWAP,0.5,same machine + same regime,0.35,True,ROLE_SWAP,False,40-60%,WALK_FORWARD_VALIDATION
077,2026-08-01,2026-08-02,STABLE,64,LEVEL_3,5,3,2,0.6,MEDIUM,ROLE_SWAP,0.6666666666666666,same machine + same regime,0.35,False,NO_CLEAR_TRANSFORM,True,40-60%,WALK_FORWARD_VALIDATION
077,2026-08-02,2026-08-03,TRANSITION,64,LEVEL_3,7,7,0,1.0,HIGH,ROLE_SWAP,0.5714285714285714,same machine + same regime,0.35,True,ROLE_SWAP,True,80-100%,WALK_FORWARD_VALIDATION
077,2026-08-03,2026-08-04,STABLE,64,LEVEL_3,6,3,3,0.5,HIGH,ROLE_SWAP,0.6666666666666666,same machine + same regime,0.35,True,ROLE_SWAP,True,40-60%,WALK_FORWARD_VALIDATION
