preprocessing,rank,role,frequency,period_days,amplitude,phase,relative_power,phase_definition,n_observations,n_fft,sampling_interval,frequency_unit,period_basis
raw_close,1,SHORT,0.390625,2.56,5509.382738383707,102.58058014153953,0.09281869007727862,"0=trough, 90=rising, 180=crest, 270=falling",60,64,1.0,cycles/observation,observations (not calendar days)
raw_close,2,LONG,0.140625,7.111111111111111,5483.017993276083,218.60655672682606,0.09193246165049374,"0=trough, 90=rising, 180=crest, 270=falling",60,64,1.0,cycles/observation,observations (not calendar days)
raw_close,3,MID,0.359375,2.782608695652174,5353.221175864908,12.435049214444815,0.08763143461199227,"0=trough, 90=rising, 180=crest, 270=falling",60,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_removed,1,LONG,0.140625,7.111111111111111,5518.699043767812,220.2523087327556,0.09325674635483149,"0=trough, 90=rising, 180=crest, 270=falling",60,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_removed,2,SHORT,0.390625,2.56,5469.889230617383,101.92775113120271,0.09161443353178862,"0=trough, 90=rising, 180=crest, 270=falling",60,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_removed,3,MID,0.359375,2.782608695652174,5415.44401100962,11.94740112745297,0.089799718986257,"0=trough, 90=rising, 180=crest, 270=falling",60,64,1.0,cycles/observation,observations (not calendar days)
mean_removed,1,LONG,0.140625,7.111111111111111,5491.026716470674,220.27092966855426,0.09206338088423349,"0=trough, 90=rising, 180=crest, 270=falling",60,64,1.0,cycles/observation,observations (not calendar days)
mean_removed,2,SHORT,0.390625,2.56,5483.808310336635,101.87377639230192,0.09182149021270597,"0=trough, 90=rising, 180=crest, 270=falling",60,64,1.0,cycles/observation,observations (not calendar days)
mean_removed,3,MID,0.359375,2.782608695652174,5403.042521575883,11.830986922592281,0.08913670518467613,"0=trough, 90=rising, 180=crest, 270=falling",60,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_and_mean_removed,1,LONG,0.140625,7.111111111111111,5518.699043767812,220.2523087327556,0.09325674635483149,"0=trough, 90=rising, 180=crest, 270=falling",60,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_and_mean_removed,2,SHORT,0.390625,2.56,5469.889230617383,101.92775113120271,0.09161443353178862,"0=trough, 90=rising, 180=crest, 270=falling",60,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_and_mean_removed,3,MID,0.359375,2.782608695652174,5415.44401100962,11.94740112745297,0.089799718986257,"0=trough, 90=rising, 180=crest, 270=falling",60,64,1.0,cycles/observation,observations (not calendar days)
