category,value,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
LONG_REGION,TOP,15,10,66.66666666666666,14,6,42.857142857142854
LONG_REGION,RIGHT,16,6,37.5,16,10,62.5
LONG_REGION,BOTTOM,15,3,20.0,15,5,33.33333333333333
LONG_REGION,LEFT,14,5,35.714285714285715,14,3,21.428571428571427
LONG_SIDE,TOP,30,15,50.0,29,14,48.275862068965516
LONG_SIDE,BOTTOM,30,9,30.0,30,10,33.33333333333333
MID_REGION,TOP,14,7,50.0,14,5,35.714285714285715
MID_REGION,RIGHT,15,7,46.666666666666664,15,7,46.666666666666664
MID_REGION,BOTTOM,15,4,26.666666666666668,15,8,53.333333333333336
MID_REGION,LEFT,16,6,37.5,15,4,26.666666666666668
MID_SIDE,TOP,30,16,53.333333333333336,30,9,30.0
MID_SIDE,BOTTOM,30,8,26.666666666666668,29,15,51.724137931034484
SHORT_REGION,TOP,15,9,60.0,15,4,26.666666666666668
SHORT_REGION,RIGHT,15,6,40.0,15,9,60.0
SHORT_REGION,BOTTOM,15,1,6.666666666666667,15,7,46.666666666666664
SHORT_REGION,LEFT,15,8,53.333333333333336,14,4,28.57142857142857
SHORT_SIDE,TOP,31,16,51.61290322580645,30,10,33.33333333333333
SHORT_SIDE,BOTTOM,29,8,27.586206896551722,29,14,48.275862068965516
CENTROID_REGION,TOP,20,13,65.0,20,7,35.0
CENTROID_REGION,RIGHT,16,8,50.0,16,10,62.5
CENTROID_REGION,BOTTOM,6,0,0.0,6,3,50.0
CENTROID_REGION,LEFT,18,3,16.666666666666664,17,4,23.52941176470588
TOP_WAVE_COUNT,0,7,0,0.0,7,3,42.857142857142854
TOP_WAVE_COUNT,1,22,6,27.27272727272727,22,11,50.0
TOP_WAVE_COUNT,2,24,13,54.166666666666664,23,8,34.78260869565217
TOP_WAVE_COUNT,3,7,5,71.42857142857143,7,2,28.57142857142857
TOP_WAVE_COUNT,2+,31,18,58.06451612903226,30,10,33.33333333333333
