score_bin,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
0.0-0.2,6,2,33.33333333333333,6,2,33.33333333333333
0.2-0.4,18,7,38.88888888888889,18,8,44.44444444444444
0.4-0.6,14,7,50.0,13,5,38.46153846153847
0.6-0.8,10,4,40.0,10,4,40.0
0.8-1.0,12,4,33.33333333333333,12,5,41.66666666666667
