group,machine_count,machines,initial_count,continuation_count,total_hit_count,continuation_per_initial,final_group_close
g1,4,"046,055,064,073",30,82,112,2.7333,73439
g2,4,"047,056,065,074",15,36,51,2.4,-31841
g3,5,"039,048,057,066,075",21,46,67,2.1905,-23038
g4,5,"040,049,058,067,076",26,61,87,2.3462,10261
g5,5,"041,050,059,068,077",16,33,49,2.0625,-38045
g6,4,"042,051,060,069",22,53,75,2.4091,16842
g7,4,"043,052,061,070",16,44,60,2.75,-3566
g8,4,"044,053,062,071",12,43,55,3.5833,-10430
g9,4,"045,054,063,072",11,20,31,1.8182,-35565
