time,minute,initial_5m,continuation_5m,total_5m,initial_10m,continuation_10m,total_10m,initial_30m,continuation_30m,total_30m
09:00,540,0,0,0,0,0,0,0,0,0
09:05,545,0,0,0,0,0,0,0,0,0
09:10,550,0,0,0,0,0,0,0,0,0
09:15,555,0,0,0,0,0,0,0,0,0
09:20,560,0,0,0,0,0,0,0,0,0
09:25,565,0,0,0,0,0,0,0,0,0
09:30,570,0,0,0,0,0,0,0,0,0
09:35,575,0,0,0,0,0,0,0,0,0
09:40,580,0,0,0,0,0,0,0,0,0
09:45,585,0,0,0,0,0,0,1,0,1
09:50,590,0,0,0,0,0,0,2,1,3
09:55,595,0,0,0,0,0,0,2,2,4
10:00,600,0,0,0,0,0,0,3,3,6
10:05,605,0,0,0,1,0,1,3,4,7
10:10,610,1,0,1,2,1,3,6,5,11
10:15,615,1,1,2,1,2,3,7,10,17
10:20,620,0,1,1,1,2,3,6,13,19
10:25,625,1,1,2,1,2,3,8,12,20
10:30,630,0,1,1,3,2,5,8,12,20
10:35,635,3,1,4,5,6,11,9,12,21
10:40,640,2,5,7,2,9,11,9,13,22
10:45,645,0,4,4,2,4,6,8,12,20
10:50,650,2,0,2,3,1,4,9,12,21
10:55,655,1,1,2,2,2,4,7,14,21
11:00,660,1,1,2,4,3,7,6,13,19
11:05,665,3,2,5,4,6,10,5,12,17
11:10,670,1,4,5,2,8,10,3,10,13
11:15,675,1,4,5,1,6,7,2,7,9
11:20,680,0,2,2,0,2,2,3,5,8
11:25,685,0,0,0,0,0,0,4,5,9
11:30,690,0,0,0,1,0,1,5,9,14
11:35,695,1,0,1,1,1,2,5,12,17
11:40,700,0,1,1,2,3,5,6,14,20
11:45,705,2,2,4,3,4,7,7,15,22
11:50,710,1,2,3,2,6,8,8,18,26
11:55,715,1,4,5,1,7,8,8,20,28
12:00,720,0,3,3,2,5,7,9,18,27
12:05,725,2,2,4,3,4,7,10,18,28
12:10,730,1,2,3,4,7,11,8,20,28
12:15,735,3,5,8,4,9,13,8,20,28
12:20,740,1,4,5,3,6,9,6,19,25
12:25,745,2,2,4,3,5,8,5,17,22
12:30,750,1,3,4,1,7,8,4,16,20
12:35,755,0,4,4,1,6,7,6,15,21
12:40,760,1,2,3,2,6,8,7,14,21
12:45,765,1,4,5,1,6,7,9,15,24
12:50,770,0,2,2,1,3,4,10,14,24
12:55,775,1,1,2,4,3,7,12,16,28
13:00,780,3,2,5,4,5,9,12,18,30
13:05,785,1,3,4,4,6,10,9,17,26
13:10,790,3,3,6,5,6,11,10,15,25
13:15,795,2,3,5,4,7,11,9,14,23
13:20,800,2,4,6,3,7,10,7,13,20
13:25,805,1,3,4,1,4,5,7,13,20
13:30,810,0,1,1,2,2,4,9,14,23
13:35,815,2,1,3,4,3,7,9,15,24
13:40,820,2,2,4,2,4,6,7,16,23
13:45,825,0,2,2,2,6,8,7,16,23
13:50,830,2,4,6,5,8,13,9,15,24
13:55,835,3,4,7,3,6,9,8,14,22
14:00,840,0,2,2,0,4,4,8,15,23
14:05,845,0,2,2,2,4,6,10,17,27
14:10,850,2,2,4,4,3,7,12,26,38
14:15,855,2,1,3,3,4,7,12,32,44
14:20,860,1,3,4,4,8,12,12,37,49
14:25,865,3,5,8,5,9,14,11,39,50
14:30,870,2,4,6,4,15,19,10,39,49
14:35,875,2,11,13,4,19,23,10,41,51
14:40,880,2,8,10,4,14,18,10,34,44
14:45,885,2,6,8,2,11,13,9,32,41
14:50,890,0,5,5,2,10,12,9,32,41
14:55,895,2,5,7,4,11,15,9,34,43
15:00,900,2,6,8,4,10,14,9,33,42
15:05,905,2,4,6,3,10,13,8,33,41
15:10,910,1,6,7,3,12,15,7,35,42
15:15,915,2,6,8,2,13,15,10,34,44
15:20,920,0,7,7,2,11,13,11,34,45
15:25,925,2,4,6,3,10,13,11,34,45
15:30,930,1,6,7,2,12,14,10,34,44
15:35,935,1,6,7,5,11,16,9,32,41
15:40,940,4,5,9,7,11,18,9,29,38
15:45,945,3,6,9,3,13,16,8,26,34
15:50,950,0,7,7,1,11,12,5,24,29
15:55,955,1,4,5,1,8,9,6,21,27
16:00,960,0,4,4,1,7,8,7,19,26
16:05,965,1,3,4,4,5,9,10,17,27
16:10,970,3,2,5,3,6,9,13,17,30
16:15,975,0,4,4,1,8,9,13,21,34
16:20,980,1,4,5,3,6,9,14,22,36
16:25,985,2,2,4,5,4,9,15,25,40
16:30,990,3,2,5,7,5,12,14,25,39
16:35,995,4,3,7,7,9,16,16,31,47
16:40,1000,3,6,9,4,11,15,14,34,48
16:45,1005,1,5,6,3,12,15,13,33,46
16:50,1010,2,7,9,3,9,12,12,33,45
16:55,1015,1,2,3,6,10,16,10,29,39
17:00,1020,5,8,13,7,14,21,11,29,40
17:05,1025,2,6,8,4,11,15,8,26,34
17:10,1030,2,5,7,2,10,12,9,23,32
17:15,1035,0,5,5,0,8,8,7,23,30
17:20,1040,0,3,3,2,5,7,7,24,31
17:25,1045,2,2,4,4,7,11,7,26,33
17:30,1050,2,5,7,5,8,13,7,26,33
17:35,1055,3,3,6,3,8,11,7,24,31
17:40,1060,0,5,5,0,11,11,4,25,29
17:45,1065,0,6,6,0,11,11,5,22,27
17:50,1070,0,5,5,2,7,9,5,17,22
17:55,1075,2,2,4,4,5,9,5,12,17
18:00,1080,2,3,5,2,7,9,3,12,15
18:05,1085,0,4,4,1,6,7,4,10,14
18:10,1090,1,2,3,1,3,4,4,8,12
18:15,1095,0,1,1,0,1,1,4,9,13
18:20,1100,0,0,0,0,2,2,4,9,13
18:25,1105,0,2,2,3,3,6,4,12,16
18:30,1110,3,1,4,3,3,6,6,13,19
18:35,1115,0,2,2,1,5,6,5,16,21
18:40,1120,1,3,4,1,4,5,6,16,22
18:45,1125,0,1,1,0,4,4,7,17,24
18:50,1130,0,3,3,2,6,8,8,20,28
18:55,1135,2,3,5,4,7,11,9,20,29
19:00,1140,2,4,6,3,6,9,9,20,29
19:05,1145,1,2,3,3,6,9,7,20,27
19:10,1150,2,4,6,3,8,11,8,22,30
19:15,1155,1,4,5,2,7,9,7,23,30
19:20,1160,1,3,4,3,6,9,7,22,29
19:25,1165,2,3,5,2,7,9,7,24,31
19:30,1170,0,4,4,2,8,10,6,25,31
19:35,1175,2,4,6,3,9,12,8,25,33
19:40,1180,1,5,6,2,8,10,6,24,30
19:45,1185,1,3,4,2,8,10,6,20,26
19:50,1190,1,5,6,2,9,11,6,18,24
19:55,1195,1,4,5,3,8,11,5,14,19
20:00,1200,2,4,6,2,7,9,4,10,14
20:05,1205,0,3,3,1,4,5,2,6,8
20:10,1210,1,1,2,2,2,4,3,4,7
20:15,1215,1,1,2,1,2,3,2,3,5
20:20,1220,0,1,1,0,1,1,1,2,3
20:25,1225,0,0,0,0,0,0,2,1,3
20:30,1230,0,0,0,1,1,2,2,1,3
20:35,1235,1,1,2,1,1,2,2,1,3
20:40,1240,0,0,0,0,0,0,2,1,3
20:45,1245,0,0,0,1,0,1,3,3,6
20:50,1250,1,0,1,1,0,1,3,3,6
20:55,1255,0,0,0,0,0,0,2,4,6
21:00,1260,0,0,0,1,1,2,2,4,6
21:05,1265,1,1,2,2,3,5,6,4,10
21:10,1270,1,2,3,1,2,3,5,7,12
21:15,1275,0,0,0,0,1,1,4,7,11
21:20,1280,0,1,1,0,1,1,5,7,12
21:25,1285,0,0,0,4,0,4,5,8,13
21:30,1290,4,0,4,4,4,8,5,9,14
21:35,1295,0,4,4,0,6,6,1,9,10
21:40,1300,0,2,2,1,2,3,1,6,7
21:45,1305,1,0,1,1,2,3,1,4,5
21:50,1310,0,2,2,0,3,3,0,4,4
21:55,1315,0,1,1,0,1,1,0,2,2
22:00,1320,0,0,0,0,1,1,0,1,1
22:05,1325,0,1,1,0,1,1,0,1,1
22:10,1330,0,0,0,0,0,0,0,0,0
22:15,1335,0,0,0,0,0,0,0,0,0
22:20,1340,0,0,0,0,0,0,0,0,0
22:25,1345,0,0,0,0,0,0,0,0,0
22:30,1350,0,0,0,0,0,0,0,0,0
22:35,1355,0,0,0,0,0,0,0,0,0
22:40,1360,0,0,0,0,0,0,0,0,0
22:45,1365,0,0,0,0,0,0,0,0,0
22:50,1370,0,0,0,0,0,0,0,0,0
22:55,1375,0,0,0,0,0,0,0,0,0
23:00,1380,0,0,0,0,0,0,0,0,0
23:05,1385,0,0,0,0,0,0,0,0,0
23:10,1390,0,0,0,0,0,0,0,0,0
23:15,1395,0,0,0,0,0,0,0,0,0
23:16,1396,0,0,0,0,0,0,0,0,0
23:20,1400,0,0,0,0,0,0,0,0,0
