group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,6,8,14,1.3333
g1,12-15,12:00,15:00,11,28,39,2.5455
g1,15-18,15:00,18:00,5,16,21,3.2
g1,18-close,18:00,24:00,8,30,38,3.75
g2,09-12,09:00,12:00,3,3,6,1.0
g2,12-15,12:00,15:00,2,0,2,0.0
g2,15-18,15:00,18:00,6,23,29,3.8333
g2,18-close,18:00,24:00,4,10,14,2.5
g3,09-12,09:00,12:00,1,0,1,0.0
g3,12-15,12:00,15:00,8,26,34,3.25
g3,15-18,15:00,18:00,6,15,21,2.5
g3,18-close,18:00,24:00,6,5,11,0.8333
g4,09-12,09:00,12:00,4,8,12,2.0
g4,12-15,12:00,15:00,8,9,17,1.125
g4,15-18,15:00,18:00,9,24,33,2.6667
g4,18-close,18:00,24:00,5,20,25,4.0
g5,09-12,09:00,12:00,2,5,7,2.5
g5,12-15,12:00,15:00,5,8,13,1.6
g5,15-18,15:00,18:00,4,10,14,2.5
g5,18-close,18:00,24:00,5,10,15,2.0
g6,09-12,09:00,12:00,4,10,14,2.5
g6,12-15,12:00,15:00,4,12,16,3.0
g6,15-18,15:00,18:00,11,26,37,2.3636
g6,18-close,18:00,24:00,3,5,8,1.6667
g7,09-12,09:00,12:00,1,0,1,0.0
g7,12-15,12:00,15:00,4,18,22,4.5
g7,15-18,15:00,18:00,6,20,26,3.3333
g7,18-close,18:00,24:00,5,6,11,1.2
g8,09-12,09:00,12:00,1,3,4,3.0
g8,12-15,12:00,15:00,4,13,17,3.25
g8,15-18,15:00,18:00,6,18,24,3.0
g8,18-close,18:00,24:00,1,9,10,9.0
g9,09-12,09:00,12:00,0,0,0,
g9,12-15,12:00,15:00,6,6,12,1.0
g9,15-18,15:00,18:00,5,14,19,2.8
g9,18-close,18:00,24:00,0,0,0,
