group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,3,5,4,2,7,1
g2,7,3,3,8,6,7
g3,8,8,8,3,1,6
g4,9,4,5,1,5,3
g5,6,1,1,9,4,9
g6,1,7,7,4,3,2
g7,4,2,2,6,2,4
g8,5,6,6,7,9,5
g9,2,9,9,5,8,8
