order,time,machine,group,source
1,10:11,0077,g5,PSCUBE history CSV status=初当り
2,10:18,0070,g7,PSCUBE history CSV status=初当り
3,10:27,0056,g2,PSCUBE history CSV status=初当り
4,10:35,0040,g4,PSCUBE history CSV status=初当り
5,10:37,0044,g8,PSCUBE history CSV status=初当り
6,10:37,0064,g1,PSCUBE history CSV status=初当り
7,10:41,0058,g4,PSCUBE history CSV status=初当り
8,10:42,0060,g6,PSCUBE history CSV status=初当り
9,10:52,0039,g3,PSCUBE history CSV status=初当り
10,10:54,0073,g1,PSCUBE history CSV status=初当り
11,11:03,0046,g1,PSCUBE history CSV status=初当り
12,11:05,0069,g6,PSCUBE history CSV status=初当り
13,11:45,0047,g2,PSCUBE history CSV status=初当り
14,11:45,0076,g4,PSCUBE history CSV status=初当り
15,11:53,0059,g5,PSCUBE history CSV status=初当り
16,12:05,0061,g7,PSCUBE history CSV status=初当り
17,12:07,0052,g7,PSCUBE history CSV status=初当り
18,12:11,0068,g5,PSCUBE history CSV status=初当り
19,12:16,0055,g1,PSCUBE history CSV status=初当り
20,12:16,0062,g8,PSCUBE history CSV status=初当り
21,12:28,0074,g2,PSCUBE history CSV status=初当り
22,12:34,0066,g3,PSCUBE history CSV status=初当り
23,12:48,0057,g3,PSCUBE history CSV status=初当り
24,13:11,0063,g9,PSCUBE history CSV status=初当り
25,13:35,0075,g3,PSCUBE history CSV status=初当り
26,13:40,0071,g8,PSCUBE history CSV status=初当り
27,13:54,0045,g9,PSCUBE history CSV status=初当り
28,14:13,0050,g5,PSCUBE history CSV status=初当り
29,14:29,0054,g9,PSCUBE history CSV status=初当り
30,14:30,0049,g4,PSCUBE history CSV status=初当り
31,14:46,0072,g9,PSCUBE history CSV status=初当り
32,15:01,0053,g8,PSCUBE history CSV status=初当り
33,15:16,0042,g6,PSCUBE history CSV status=初当り
34,16:34,0065,g2,PSCUBE history CSV status=初当り
35,17:37,0067,g4,PSCUBE history CSV status=初当り
36,18:55,0048,g3,PSCUBE history CSV status=初当り
37,19:13,0043,g7,PSCUBE history CSV status=初当り
