machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,4,18,22,4.5,12586,-8178,11379
0040,g4,6,5,11,0.8333,6897,-16000,-16000
0041,g5,0,0,0,,462,-18037,308
0042,g6,6,8,14,1.3333,0,-11911,-5511
0043,g7,1,0,1,0.0,0,-8800,-8800
0044,g8,3,8,11,2.6667,7759,-10311,-10311
0045,g9,2,1,3,0.5,0,-15644,-15644
0046,g1,9,30,39,3.3333,38718,-2597,35641
0047,g2,4,13,17,3.25,3534,-8978,-1333
0048,g3,3,2,5,0.6667,0,-27574,-24766
0049,g4,2,2,4,1.0,0,-12089,-12089
0050,g5,3,2,5,0.6667,0,-16356,-16356
0051,g6,0,0,0,,0,-26298,-26298
0052,g7,3,8,11,2.6667,948,-7556,-7200
0053,g8,2,9,11,4.5,0,-13689,-1067
0054,g9,6,11,17,1.8333,4483,-10489,345
0055,g1,7,16,23,2.2857,14483,-3022,13448
0056,g2,4,4,8,1.0,1552,-16356,-16356
0057,g3,5,7,12,1.4,690,-8533,-8533
0058,g4,7,14,21,2.0,8362,-889,8017
0059,g5,2,9,11,4.5,3448,-9244,-4444
0060,g6,9,17,26,1.8889,16379,-1956,12241
0061,g7,5,28,33,5.6,31282,-5455,20256
0062,g8,5,14,19,2.8,1638,-10044,0
0063,g9,2,7,9,3.5,690,-7822,-7822
0064,g1,8,12,20,1.5,5862,-1244,3276
0065,g2,3,15,18,5.0,5000,-16533,3448
0066,g3,5,9,14,1.8,5086,-5422,1638
0067,g4,4,13,17,3.25,3103,-12622,2069
0068,g5,6,16,22,2.6667,1207,-17600,-178
0069,g6,7,28,35,4.0,38974,0,36410
0070,g7,7,8,15,1.1429,517,-10667,-7822
0071,g8,2,12,14,6.0,5517,-9511,948
0072,g9,1,1,2,1.0,0,-12444,-12444
0073,g1,6,24,30,4.0,21074,-4596,21074
0074,g2,4,4,8,1.0,0,-17600,-17600
0075,g3,4,10,14,2.5,4828,-7556,-2756
0076,g4,7,27,34,3.8571,29504,-7404,28264
0077,g5,5,6,11,1.2,6207,-17067,-17067
