group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,1,0,1,0.0
g1,12-15,12:00,15:00,5,7,12,1.4
g1,15-18,15:00,18:00,4,7,11,1.75
g1,18-close,18:00,24:00,6,4,10,0.6667
g2,09-12,09:00,12:00,5,4,9,0.8
g2,12-15,12:00,15:00,6,10,16,1.6667
g2,15-18,15:00,18:00,0,7,7,
g2,18-close,18:00,24:00,2,13,15,6.5
g3,09-12,09:00,12:00,3,5,8,1.6667
g3,12-15,12:00,15:00,6,12,18,2.0
g3,15-18,15:00,18:00,6,13,19,2.1667
g3,18-close,18:00,24:00,3,6,9,2.0
g4,09-12,09:00,12:00,4,9,13,2.25
g4,12-15,12:00,15:00,11,9,20,0.8182
g4,15-18,15:00,18:00,7,19,26,2.7143
g4,18-close,18:00,24:00,6,7,13,1.1667
g5,09-12,09:00,12:00,0,0,0,
g5,12-15,12:00,15:00,6,17,23,2.8333
g5,15-18,15:00,18:00,5,17,22,3.4
g5,18-close,18:00,24:00,2,6,8,3.0
g6,09-12,09:00,12:00,0,0,0,
g6,12-15,12:00,15:00,9,17,26,1.8889
g6,15-18,15:00,18:00,3,13,16,4.3333
g6,18-close,18:00,24:00,2,8,10,4.0
g7,09-12,09:00,12:00,4,8,12,2.0
g7,12-15,12:00,15:00,7,28,35,4.0
g7,15-18,15:00,18:00,7,41,48,5.8571
g7,18-close,18:00,24:00,1,3,4,3.0
g8,09-12,09:00,12:00,0,0,0,
g8,12-15,12:00,15:00,6,31,37,5.1667
g8,15-18,15:00,18:00,6,7,13,1.1667
g8,18-close,18:00,24:00,3,7,10,2.3333
g9,09-12,09:00,12:00,0,0,0,
g9,12-15,12:00,15:00,5,4,9,0.8
g9,15-18,15:00,18:00,5,5,10,1.0
g9,18-close,18:00,24:00,0,0,0,
