group,machine_count,machines,initial_count,continuation_count,total_hit_count,continuation_per_initial,final_group_close
g1,4,"046,055,064,073",16,18,34,1.125,-41171
g2,4,"047,056,065,074",13,34,47,2.6154,-11075
g3,5,"039,048,057,066,075",18,36,54,2.0,-33923
g4,5,"040,049,058,067,076",28,44,72,1.5714,-16699
g5,5,"041,050,059,068,077",13,40,53,3.0769,-21402
g6,4,"042,051,060,069",14,38,52,2.7143,-10912
g7,4,"043,052,061,070",19,80,99,4.2105,70128
g8,4,"044,053,062,071",15,45,60,3.0,10812
g9,4,"045,054,063,072",10,9,19,0.9,-35122
