group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,7,2,1,8,7,9
g2,1,1,2,4,8,4
g3,3,5,5,9,5,7
g4,9,3,3,1,4,5
g5,4,7,7,5,1,6
g6,6,8,8,2,9,3
g7,2,4,4,6,2,1
g8,8,6,6,3,3,2
g9,5,9,9,7,6,8
