machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,2,1,3,0.5,345,-16000,-16000
0040,g4,7,8,15,1.1429,4224,-4356,2845
0041,g5,4,14,18,3.5,9655,-9422,7931
0042,g6,3,16,19,5.3333,11034,-4267,10000
0043,g7,7,28,35,4.0,30256,-2338,28718
0044,g8,2,7,9,3.5,4052,-7911,-7911
0045,g9,2,4,6,2.0,1034,-5333,345
0046,g1,7,10,17,1.4286,6293,-978,2845
0047,g2,0,0,0,,0,-16533,-16533
0048,g3,4,6,10,1.5,0,-16356,-11378
0049,g4,5,9,14,1.8,1466,-7644,603
0050,g5,2,7,9,3.5,5000,-7556,-7556
0051,g6,3,2,5,0.6667,2759,-12800,-12800
0052,g7,2,12,14,6.0,8707,-8889,3362
0053,g8,7,16,23,2.2857,10172,-1956,10000
0054,g9,3,4,7,1.3333,2241,-7022,-7022
0055,g1,1,2,3,2.0,0,-20426,-19660
0056,g2,3,11,14,3.6667,8448,-10133,-4800
0057,g3,3,13,16,4.3333,8879,-3022,4655
0058,g4,6,15,21,2.5,11552,-178,1897
0059,g5,3,3,6,1.0,0,-13511,-13511
0060,g6,6,13,19,2.1667,7328,-3822,6466
0061,g7,4,16,20,4.0,16724,-1956,12759
0062,g8,4,5,9,1.25,5172,-5956,-2311
0063,g9,1,1,2,1.0,0,-16178,-16178
0064,g1,4,4,8,1.0,0,-13689,-12089
0065,g2,3,12,15,4.0,5948,-8533,5948
0066,g3,5,7,12,1.4,0,-12978,-9600
0067,g4,5,6,11,1.2,0,-12089,-6400
0068,g5,2,4,6,2.0,2328,-6133,-6133
0069,g6,2,7,9,3.5,517,-14578,-14578
0070,g7,6,24,30,4.0,28017,-511,25289
0071,g8,2,17,19,8.5,17931,-6933,11034
0072,g9,4,0,4,0.0,0,-12267,-12267
0073,g1,4,2,6,0.5,517,-12267,-12267
0074,g2,7,11,18,1.5714,9655,-5600,4310
0075,g3,4,9,13,2.25,9655,-2578,-1600
0076,g4,5,6,11,1.2,0,-15644,-15644
0077,g5,2,12,14,6.0,7586,-6756,-2133
