group,machines,machine_count,initial_hit_count,unique_machines_with_initial_hit,09-12_initial_hit_count,12-15_initial_hit_count,15-18_initial_hit_count,18-close_initial_hit_count,final_total
g1,"046,055,064,073",4,16,4,1,5,4,6,-41171
g2,"047,056,065,074",4,13,3,5,6,0,2,-11075
g3,"039,048,057,066,075",5,18,5,3,6,6,3,-33923
g4,"040,049,058,067,076",5,28,5,4,11,7,6,-16699
g5,"041,050,059,068,077",5,13,5,0,6,5,2,-21402
g6,"042,051,060,069",4,14,4,0,9,3,2,-10912
g7,"043,052,061,070",4,19,4,4,7,7,1,70128
g8,"044,053,062,071",4,15,4,0,6,6,3,10812
g9,"045,054,063,072",4,10,4,0,5,5,0,-35122
