order,time,machine,group,source
1,10:13,0074,g2,PSCUBE history CSV status=初当り
2,10:14,0056,g2,PSCUBE history CSV status=初当り
3,10:14,0073,g1,PSCUBE history CSV status=初当り
4,10:19,0058,g4,PSCUBE history CSV status=初当り
5,10:44,0040,g4,PSCUBE history CSV status=初当り
6,10:52,0070,g7,PSCUBE history CSV status=初当り
7,11:02,0039,g3,PSCUBE history CSV status=初当り
8,11:02,0043,g7,PSCUBE history CSV status=初当り
9,11:18,0075,g3,PSCUBE history CSV status=初当り
10,11:54,0066,g3,PSCUBE history CSV status=初当り
11,12:06,0053,g8,PSCUBE history CSV status=初当り
12,12:13,0046,g1,PSCUBE history CSV status=初当り
13,12:16,0068,g5,PSCUBE history CSV status=初当り
14,12:25,0051,g6,PSCUBE history CSV status=初当り
15,12:29,0062,g8,PSCUBE history CSV status=初当り
16,12:43,0065,g2,PSCUBE history CSV status=初当り
17,12:47,0059,g5,PSCUBE history CSV status=初当り
18,12:59,0044,g8,PSCUBE history CSV status=初当り
19,13:10,0060,g6,PSCUBE history CSV status=初当り
20,13:11,0061,g7,PSCUBE history CSV status=初当り
21,13:19,0049,g4,PSCUBE history CSV status=初当り
22,13:21,0054,g9,PSCUBE history CSV status=初当り
23,13:29,0063,g9,PSCUBE history CSV status=初当り
24,13:35,0067,g4,PSCUBE history CSV status=初当り
25,13:35,0071,g8,PSCUBE history CSV status=初当り
26,13:41,0042,g6,PSCUBE history CSV status=初当り
27,13:46,0069,g6,PSCUBE history CSV status=初当り
28,13:49,0048,g3,PSCUBE history CSV status=初当り
29,13:51,0072,g9,PSCUBE history CSV status=初当り
30,13:55,0050,g5,PSCUBE history CSV status=初当り
31,13:59,0057,g3,PSCUBE history CSV status=初当り
32,14:05,0077,g5,PSCUBE history CSV status=初当り
33,14:07,0064,g1,PSCUBE history CSV status=初当り
34,14:17,0076,g4,PSCUBE history CSV status=初当り
35,14:57,0045,g9,PSCUBE history CSV status=初当り
36,14:58,0052,g7,PSCUBE history CSV status=初当り
37,15:00,0041,g5,PSCUBE history CSV status=初当り
38,18:24,0055,g1,PSCUBE history CSV status=初当り
