machine,group,first_hit_time,first_hit_order,source
0039,g3,11:02,7,PSCUBE history CSV status=初当り
0040,g4,10:44,5,PSCUBE history CSV status=初当り
0041,g5,15:00,37,PSCUBE history CSV status=初当り
0042,g6,13:41,26,PSCUBE history CSV status=初当り
0043,g7,11:02,8,PSCUBE history CSV status=初当り
0044,g8,12:59,18,PSCUBE history CSV status=初当り
0045,g9,14:57,35,PSCUBE history CSV status=初当り
0046,g1,12:13,12,PSCUBE history CSV status=初当り
0047,g2,,,no qualifying history event
0048,g3,13:49,28,PSCUBE history CSV status=初当り
0049,g4,13:19,21,PSCUBE history CSV status=初当り
0050,g5,13:55,30,PSCUBE history CSV status=初当り
0051,g6,12:25,14,PSCUBE history CSV status=初当り
0052,g7,14:58,36,PSCUBE history CSV status=初当り
0053,g8,12:06,11,PSCUBE history CSV status=初当り
0054,g9,13:21,22,PSCUBE history CSV status=初当り
0055,g1,18:24,38,PSCUBE history CSV status=初当り
0056,g2,10:14,2,PSCUBE history CSV status=初当り
0057,g3,13:59,31,PSCUBE history CSV status=初当り
0058,g4,10:19,4,PSCUBE history CSV status=初当り
0059,g5,12:47,17,PSCUBE history CSV status=初当り
0060,g6,13:10,19,PSCUBE history CSV status=初当り
0061,g7,13:11,20,PSCUBE history CSV status=初当り
0062,g8,12:29,15,PSCUBE history CSV status=初当り
0063,g9,13:29,23,PSCUBE history CSV status=初当り
0064,g1,14:07,33,PSCUBE history CSV status=初当り
0065,g2,12:43,16,PSCUBE history CSV status=初当り
0066,g3,11:54,10,PSCUBE history CSV status=初当り
0067,g4,13:35,24,PSCUBE history CSV status=初当り
0068,g5,12:16,13,PSCUBE history CSV status=初当り
0069,g6,13:46,27,PSCUBE history CSV status=初当り
0070,g7,10:52,6,PSCUBE history CSV status=初当り
0071,g8,13:35,25,PSCUBE history CSV status=初当り
0072,g9,13:51,29,PSCUBE history CSV status=初当り
0073,g1,10:14,3,PSCUBE history CSV status=初当り
0074,g2,10:13,1,PSCUBE history CSV status=初当り
0075,g3,11:18,9,PSCUBE history CSV status=初当り
0076,g4,14:17,34,PSCUBE history CSV status=初当り
0077,g5,14:05,32,PSCUBE history CSV status=初当り
