group,previous_wavelab_rank,previous_wavelab_score,previous_strong_group,morning_first_hit_time,morning_first_hit_machine,morning_first_hit_rank,activity_start_time,activity_start_rank,activity_start_initial,activity_start_continuation,activity_start_total,peak_initial_count,peak_continuation_count,peak_total_activity,peak_activity_rank,peak_group_delta,peak_delta_rank,final_close,final_rank
g1,7,0.25,False,10:14,0073,2,10:10,1,1,0,1,1,1,2,8,-3198,7,-41171,9
g2,1,1.25,False,10:13,0074,1,10:10,2,2,0,2,1,6,7,4,-4806,8,-11075,4
g3,3,0.8,False,11:02,0039,5,11:00,5,1,1,2,0,0,0,9,-1812,5,-33923,7
g4,9,0,False,10:19,0058,3,10:15,3,1,0,1,5,8,13,1,-1289,4,-16699,5
g5,4,0.8,False,12:16,0068,7,12:15,7,1,1,2,3,3,6,5,11116,1,-21402,6
g6,6,0.5,False,12:25,0051,8,12:25,8,1,1,2,1,11,12,2,-5850,9,-10912,3
g7,2,1,False,10:52,0070,4,10:50,4,1,0,1,2,3,5,6,7805,2,70128,1
g8,8,0.25,False,12:06,0053,6,12:05,6,1,1,2,2,7,9,3,2542,3,10812,2
g9,5,0.75,False,13:21,0054,9,13:20,9,1,0,1,2,2,4,7,-2285,6,-35122,8
