group,machines,machine_count,initial_hit_count,unique_machines_with_initial_hit,09-12_initial_hit_count,12-15_initial_hit_count,15-18_initial_hit_count,18-close_initial_hit_count,final_total
g1,"046,055,064,073",4,17,4,1,6,6,4,-16220
g2,"047,056,065,074",4,18,4,0,7,4,7,4417
g3,"039,048,057,066,075",5,35,5,2,10,9,14,45248
g4,"040,049,058,067,076",5,27,5,3,5,11,8,62116
g5,"041,050,059,068,077",5,27,5,0,8,8,11,7803
g6,"042,051,060,069",4,16,4,3,2,7,4,4662
g7,"043,052,061,070",4,15,4,3,4,2,6,23138
g8,"044,053,062,071",4,17,4,2,5,7,3,-21792
g9,"045,054,063,072",4,16,4,1,8,5,2,-17997
