machine,time,minute,value
0039,09:00,540,0
0039,09:05,545,0
0039,09:10,550,0
0039,09:15,555,0
0039,09:20,560,0
0039,09:25,565,0
0039,09:30,570,0
0039,09:35,575,0
0039,09:40,580,0
0039,09:45,585,0
0039,09:50,590,0
0039,09:55,595,0
0039,10:00,600,0
0039,10:05,605,0
0039,10:10,610,0
0039,10:15,615,0
0039,10:20,620,0
0039,10:25,625,-1277
0039,10:30,630,-1277
0039,10:35,635,-1277
0039,10:40,640,-2298
0039,10:45,645,-2298
0039,10:50,650,-2298
0039,10:55,655,-2298
0039,11:00,660,-3319
0039,11:05,665,-3319
0039,11:10,670,-3830
0039,11:15,675,-3830
0039,11:20,680,-3830
0039,11:25,685,-3830
0039,11:30,690,-5106
0039,11:35,695,-5106
0039,11:40,700,-5106
0039,11:45,705,-6383
0039,11:50,710,-6383
0039,11:55,715,-6383
0039,12:00,720,-6383
0039,12:05,725,-7660
0039,12:10,730,-7660
0039,12:15,735,-7660
0039,12:20,740,-7660
0039,12:25,745,-7660
0039,12:30,750,-4340
0039,12:35,755,-4340
0039,12:40,760,-4340
0039,12:45,765,-4340
0039,12:50,770,-5617
0039,12:55,775,-5617
0039,13:00,780,-5617
0039,13:05,785,-6894
0039,13:10,790,-6894
0039,13:15,795,-6894
0039,13:20,800,-6894
0039,13:25,805,-8426
0039,13:30,810,-8426
0039,13:35,815,-8426
0039,13:40,820,-8426
0039,13:45,825,-8426
0039,13:50,830,-9702
0039,13:55,835,-9702
0039,14:00,840,-9702
0039,14:05,845,-9702
0039,14:10,850,-6638
0039,14:15,855,-6638
0039,14:20,860,-6638
0039,14:25,865,-6638
0039,14:30,870,-3064
0039,14:35,875,-3064
0039,14:40,880,-3064
0039,14:45,885,-4340
0039,14:50,890,-4340
0039,14:55,895,-4340
0039,15:00,900,-4340
0039,15:05,905,-4340
0039,15:10,910,-4340
0039,15:15,915,-4340
0039,15:20,920,-4340
0039,15:25,925,-4340
0039,15:30,930,-6128
0039,15:35,935,-6128
0039,15:40,940,-6128
0039,15:45,945,-2298
0039,15:50,950,-2298
0039,15:55,955,-2298
0039,16:00,960,-2298
0039,16:05,965,-2298
0039,16:10,970,-3319
0039,16:15,975,-3319
0039,16:20,980,-3319
0039,16:25,985,-3319
0039,16:30,990,-1277
0039,16:35,995,-1277
0039,16:40,1000,-1277
0039,16:45,1005,-1277
0039,16:50,1010,1488
0039,16:55,1015,1488
0039,17:00,1020,1488
0039,17:05,1025,3471
0039,17:10,1030,3471
0039,17:15,1035,3471
0039,17:20,1040,3471
0039,17:25,1045,3471
0039,17:30,1050,2231
0039,17:35,1055,2231
0039,17:40,1060,2231
0039,17:45,1065,2231
0039,17:50,1070,1240
0039,17:55,1075,1240
0039,18:00,1080,1240
0039,18:05,1085,1240
0039,18:10,1090,496
0039,18:15,1095,496
0039,18:20,1100,496
0039,18:25,1105,496
0039,18:30,1110,496
0039,18:35,1115,496
0039,18:40,1120,496
0039,18:45,1125,496
0039,18:50,1130,-511
0039,18:55,1135,-511
0039,19:00,1140,-511
0039,19:05,1145,-511
0039,19:10,1150,248
0039,19:15,1155,248
0039,19:20,1160,248
0039,19:25,1165,-1277
0039,19:30,1170,-1277
0039,19:35,1175,-1277
0039,19:40,1180,-1277
0039,19:45,1185,-511
0039,19:50,1190,-511
0039,19:55,1195,-511
0039,20:00,1200,-511
0039,20:05,1205,-511
0039,20:10,1210,-1787
0039,20:15,1215,-1787
0039,20:20,1220,-1787
0039,20:25,1225,-1787
0039,20:30,1230,-1021
0039,20:35,1235,-1021
0039,20:40,1240,-1021
0039,20:45,1245,-2553
0039,20:50,1250,-2553
0039,20:55,1255,-2553
0039,21:00,1260,-2553
0039,21:05,1265,-2553
0039,21:10,1270,-3319
0039,21:15,1275,-3319
0039,21:20,1280,-3319
0039,21:25,1285,-3319
0039,21:30,1290,1983
0039,21:35,1295,1983
0039,21:40,1300,1983
0039,21:45,1305,6446
0039,21:50,1310,6446
0039,21:55,1315,6446
0039,22:00,1320,6446
0039,22:05,1325,12645
0039,22:10,1330,12645
0039,22:15,1335,12645
0039,22:20,1340,12645
0039,22:25,1345,12645
0039,22:30,1350,19587
0039,22:35,1355,19587
0039,22:40,1360,19587
0039,22:45,1365,19587
0039,22:50,1370,22314
0039,22:55,1375,22314
0039,23:00,1380,22314
0039,23:05,1385,22314
0039,23:10,1390,22314
0039,23:15,1395,22314
0039,23:16,1396,22314
0039,23:20,1400,22314
0040,09:00,540,0
0040,09:05,545,0
0040,09:10,550,0
0040,09:15,555,0
0040,09:20,560,0
0040,09:25,565,0
0040,09:30,570,0
0040,09:35,575,0
0040,09:40,580,0
0040,09:45,585,0
0040,09:50,590,0
0040,09:55,595,0
0040,10:00,600,0
0040,10:05,605,0
0040,10:10,610,0
0040,10:15,615,0
0040,10:20,620,0
0040,10:25,625,0
0040,10:30,630,0
0040,10:35,635,0
0040,10:40,640,0
0040,10:45,645,0
0040,10:50,650,0
0040,10:55,655,0
0040,11:00,660,0
0040,11:05,665,0
0040,11:10,670,0
0040,11:15,675,0
0040,11:20,680,0
0040,11:25,685,0
0040,11:30,690,0
0040,11:35,695,0
0040,11:40,700,0
0040,11:45,705,0
0040,11:50,710,0
0040,11:55,715,0
0040,12:00,720,0
0040,12:05,725,0
0040,12:10,730,0
0040,12:15,735,0
0040,12:20,740,0
0040,12:25,745,0
0040,12:30,750,0
0040,12:35,755,0
0040,12:40,760,0
0040,12:45,765,0
0040,12:50,770,0
0040,12:55,775,0
0040,13:00,780,0
0040,13:05,785,0
0040,13:10,790,0
0040,13:15,795,0
0040,13:20,800,0
0040,13:25,805,0
0040,13:30,810,0
0040,13:35,815,0
0040,13:40,820,0
0040,13:45,825,0
0040,13:50,830,0
0040,13:55,835,0
0040,14:00,840,0
0040,14:05,845,0
0040,14:10,850,-711
0040,14:15,855,-711
0040,14:20,860,-711
0040,14:25,865,-711
0040,14:30,870,-1244
0040,14:35,875,-1244
0040,14:40,880,-1244
0040,14:45,885,-2844
0040,14:50,890,-2844
0040,14:55,895,-2844
0040,15:00,900,-2844
0040,15:05,905,-2844
0040,15:10,910,-3022
0040,15:15,915,-3022
0040,15:20,920,-3022
0040,15:25,925,-3022
0040,15:30,930,-3022
0040,15:35,935,-3022
0040,15:40,940,-3022
0040,15:45,945,-4444
0040,15:50,950,-4444
0040,15:55,955,-4444
0040,16:00,960,-4444
0040,16:05,965,-4444
0040,16:10,970,-5333
0040,16:15,975,-5333
0040,16:20,980,-5333
0040,16:25,985,-5333
0040,16:30,990,-6222
0040,16:35,995,-6222
0040,16:40,1000,-6222
0040,16:45,1005,-6222
0040,16:50,1010,-7822
0040,16:55,1015,-7822
0040,17:00,1020,-7822
0040,17:05,1025,-8711
0040,17:10,1030,-8711
0040,17:15,1035,-8711
0040,17:20,1040,-8711
0040,17:25,1045,-8711
0040,17:30,1050,-10133
0040,17:35,1055,-10133
0040,17:40,1060,-10133
0040,17:45,1065,-10133
0040,17:50,1070,-11200
0040,17:55,1075,-11200
0040,18:00,1080,-11200
0040,18:05,1085,-11200
0040,18:10,1090,-10133
0040,18:15,1095,-10133
0040,18:20,1100,-10133
0040,18:25,1105,-10844
0040,18:30,1110,-10844
0040,18:35,1115,-10844
0040,18:40,1120,-10844
0040,18:45,1125,-10844
0040,18:50,1130,-11200
0040,18:55,1135,-11200
0040,19:00,1140,-11200
0040,19:05,1145,-11200
0040,19:10,1150,-11200
0040,19:15,1155,-11200
0040,19:20,1160,-11200
0040,19:25,1165,-11200
0040,19:30,1170,-11200
0040,19:35,1175,-11200
0040,19:40,1180,-11200
0040,19:45,1185,-11200
0040,19:50,1190,-11200
0040,19:55,1195,-11200
0040,20:00,1200,-11200
0040,20:05,1205,-11200
0040,20:10,1210,-11200
0040,20:15,1215,-11200
0040,20:20,1220,-11200
0040,20:25,1225,-11200
0040,20:30,1230,-11200
0040,20:35,1235,-11200
0040,20:40,1240,-11200
0040,20:45,1245,-11200
0040,20:50,1250,-11200
0040,20:55,1255,-11200
0040,21:00,1260,-11200
0040,21:05,1265,-11200
0040,21:10,1270,-11200
0040,21:15,1275,-11200
0040,21:20,1280,-11200
0040,21:25,1285,-11200
0040,21:30,1290,-11200
0040,21:35,1295,-11200
0040,21:40,1300,-11200
0040,21:45,1305,-11200
0040,21:50,1310,-11200
0040,21:55,1315,-11200
0040,22:00,1320,-11200
0040,22:05,1325,-11200
0040,22:10,1330,-11200
0040,22:15,1335,-11200
0040,22:20,1340,-11200
0040,22:25,1345,-11200
0040,22:30,1350,-11200
0040,22:35,1355,-11200
0040,22:40,1360,-11200
0040,22:45,1365,-11200
0040,22:50,1370,-11200
0040,22:55,1375,-11200
0040,23:00,1380,-11200
0040,23:05,1385,-11200
0040,23:10,1390,-11200
0040,23:15,1395,-11200
0040,23:16,1396,-11200
0040,23:20,1400,-11200
0041,09:00,540,0
0041,09:05,545,0
0041,09:10,550,0
0041,09:15,555,0
0041,09:20,560,0
0041,09:25,565,0
0041,09:30,570,0
0041,09:35,575,0
0041,09:40,580,0
0041,09:45,585,0
0041,09:50,590,0
0041,09:55,595,0
0041,10:00,600,0
0041,10:05,605,0
0041,10:10,610,0
0041,10:15,615,0
0041,10:20,620,0
0041,10:25,625,0
0041,10:30,630,0
0041,10:35,635,0
0041,10:40,640,0
0041,10:45,645,0
0041,10:50,650,0
0041,10:55,655,0
0041,11:00,660,0
0041,11:05,665,0
0041,11:10,670,0
0041,11:15,675,0
0041,11:20,680,0
0041,11:25,685,0
0041,11:30,690,0
0041,11:35,695,0
0041,11:40,700,0
0041,11:45,705,-178
0041,11:50,710,-178
0041,11:55,715,-178
0041,12:00,720,-178
0041,12:05,725,-533
0041,12:10,730,-533
0041,12:15,735,-533
0041,12:20,740,-533
0041,12:25,745,-533
0041,12:30,750,603
0041,12:35,755,603
0041,12:40,760,603
0041,12:45,765,603
0041,12:50,770,4569
0041,12:55,775,4569
0041,13:00,780,4569
0041,13:05,785,3793
0041,13:10,790,3793
0041,13:15,795,3793
0041,13:20,800,3793
0041,13:25,805,2672
0041,13:30,810,2672
0041,13:35,815,2672
0041,13:40,820,2672
0041,13:45,825,2672
0041,13:50,830,2672
0041,13:55,835,2672
0041,14:00,840,2672
0041,14:05,845,2672
0041,14:10,850,3448
0041,14:15,855,3448
0041,14:20,860,3448
0041,14:25,865,3448
0041,14:30,870,2500
0041,14:35,875,2500
0041,14:40,880,2500
