machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,9,30,39,3.3333,22314,-9702,22314
0040,g4,1,0,1,0.0,0,-11200,-11200
0041,g5,8,13,21,1.625,4569,-8000,1810
0042,g6,8,15,23,1.875,6379,-10489,6379
0043,g7,2,12,14,6.0,2586,-15644,1552
0044,g8,5,13,18,2.6,6293,-9600,3621
0045,g9,2,5,7,2.5,0,-20170,-20170
0046,g1,5,13,18,2.6,4310,-7022,3621
0047,g2,6,9,15,1.5,0,-10133,-6578
0048,g3,6,5,11,0.8333,5431,-5422,-4267
0049,g4,6,42,48,7.0,46094,-8158,46094
0050,g5,5,9,14,1.8,6034,-7111,3966
0051,g6,1,1,2,1.0,0,-11200,-11200
0052,g7,8,18,26,2.25,17241,-1422,16552
0053,g8,2,0,2,0.0,0,-24511,-24511
0054,g9,5,10,15,2.0,0,-17422,-11556
0055,g1,4,7,11,1.75,0,-13511,-13511
0056,g2,8,30,38,3.75,38462,-5455,38462
0057,g3,8,24,32,3.0,17414,-4978,15862
0058,g4,6,13,19,2.1667,10172,-2489,-178
0059,g5,3,13,16,4.3333,10517,-6756,5172
0060,g6,2,12,14,6.0,6724,-5956,2931
0061,g7,3,20,23,6.6667,15517,-9067,15345
0062,g8,5,10,15,2.0,7414,-1333,-1333
0063,g9,6,25,31,4.1667,19310,-8889,15862
0064,g1,3,9,12,3.0,11034,-6933,-6933
0065,g2,2,7,9,3.5,2931,-9689,-9689
0066,g3,5,12,17,2.4,690,-12444,-8000
0067,g4,4,20,24,5.0,7931,-9511,7069
0068,g5,5,5,10,1.0,0,-14756,-12800
0069,g6,5,16,21,3.2,8966,-12800,6552
0070,g7,2,4,6,2.0,517,-10311,-10311
0071,g8,5,12,17,2.4,2500,-7378,431
0072,g9,3,5,8,1.6667,3190,-2133,-2133
0073,g1,5,11,16,2.2,9397,-2133,603
0074,g2,2,1,3,0.5,0,-17778,-17778
0075,g3,7,18,25,2.5714,21074,-3574,19339
0076,g4,10,21,31,2.1,22314,-4340,20331
0077,g5,6,17,23,2.8333,9655,-4178,9655
