order,time,machine,group,source
1,10:25,0060,g6,PSCUBE history CSV status=初当り
2,10:29,0052,g7,PSCUBE history CSV status=初当り
3,10:41,0057,g3,PSCUBE history CSV status=初当り
4,10:48,0042,g6,PSCUBE history CSV status=初当り
5,11:01,0063,g9,PSCUBE history CSV status=初当り
6,11:09,0067,g4,PSCUBE history CSV status=初当り
7,11:10,0064,g1,PSCUBE history CSV status=初当り
8,11:29,0048,g3,PSCUBE history CSV status=初当り
9,11:33,0062,g8,PSCUBE history CSV status=初当り
10,11:45,0071,g8,PSCUBE history CSV status=初当り
11,11:56,0058,g4,PSCUBE history CSV status=初当り
12,12:00,0041,g5,PSCUBE history CSV status=初当り
13,12:07,0073,g1,PSCUBE history CSV status=初当り
14,12:10,0039,g3,PSCUBE history CSV status=初当り
15,12:18,0077,g5,PSCUBE history CSV status=初当り
16,12:27,0053,g8,PSCUBE history CSV status=初当り
17,12:32,0055,g1,PSCUBE history CSV status=初当り
18,12:37,0066,g3,PSCUBE history CSV status=初当り
19,12:38,0061,g7,PSCUBE history CSV status=初当り
20,12:51,0076,g4,PSCUBE history CSV status=初当り
21,12:55,0065,g2,PSCUBE history CSV status=初当り
22,12:58,0045,g9,PSCUBE history CSV status=初当り
23,13:04,0046,g1,PSCUBE history CSV status=初当り
24,13:04,0074,g2,PSCUBE history CSV status=初当り
25,13:07,0049,g4,PSCUBE history CSV status=初当り
26,13:25,0044,g8,PSCUBE history CSV status=初当り
27,13:44,0054,g9,PSCUBE history CSV status=初当り
28,13:46,0068,g5,PSCUBE history CSV status=初当り
29,14:06,0056,g2,PSCUBE history CSV status=初当り
30,14:14,0069,g6,PSCUBE history CSV status=初当り
31,14:19,0059,g5,PSCUBE history CSV status=初当り
32,14:31,0070,g7,PSCUBE history CSV status=初当り
33,14:31,0075,g3,PSCUBE history CSV status=初当り
34,14:35,0072,g9,PSCUBE history CSV status=初当り
35,14:44,0047,g2,PSCUBE history CSV status=初当り
36,14:55,0050,g5,PSCUBE history CSV status=初当り
37,15:18,0051,g6,PSCUBE history CSV status=初当り
38,16:51,0043,g7,PSCUBE history CSV status=初当り
39,17:51,0040,g4,PSCUBE history CSV status=初当り
