machine,group,first_hit_time,first_hit_order,source
0039,g3,12:10,14,PSCUBE history CSV status=初当り
0040,g4,17:51,39,PSCUBE history CSV status=初当り
0041,g5,12:00,12,PSCUBE history CSV status=初当り
0042,g6,10:48,4,PSCUBE history CSV status=初当り
0043,g7,16:51,38,PSCUBE history CSV status=初当り
0044,g8,13:25,26,PSCUBE history CSV status=初当り
0045,g9,12:58,22,PSCUBE history CSV status=初当り
0046,g1,13:04,23,PSCUBE history CSV status=初当り
0047,g2,14:44,35,PSCUBE history CSV status=初当り
0048,g3,11:29,8,PSCUBE history CSV status=初当り
0049,g4,13:07,25,PSCUBE history CSV status=初当り
0050,g5,14:55,36,PSCUBE history CSV status=初当り
0051,g6,15:18,37,PSCUBE history CSV status=初当り
0052,g7,10:29,2,PSCUBE history CSV status=初当り
0053,g8,12:27,16,PSCUBE history CSV status=初当り
0054,g9,13:44,27,PSCUBE history CSV status=初当り
0055,g1,12:32,17,PSCUBE history CSV status=初当り
0056,g2,14:06,29,PSCUBE history CSV status=初当り
0057,g3,10:41,3,PSCUBE history CSV status=初当り
0058,g4,11:56,11,PSCUBE history CSV status=初当り
0059,g5,14:19,31,PSCUBE history CSV status=初当り
0060,g6,10:25,1,PSCUBE history CSV status=初当り
0061,g7,12:38,19,PSCUBE history CSV status=初当り
0062,g8,11:33,9,PSCUBE history CSV status=初当り
0063,g9,11:01,5,PSCUBE history CSV status=初当り
0064,g1,11:10,7,PSCUBE history CSV status=初当り
0065,g2,12:55,21,PSCUBE history CSV status=初当り
0066,g3,12:37,18,PSCUBE history CSV status=初当り
0067,g4,11:09,6,PSCUBE history CSV status=初当り
0068,g5,13:46,28,PSCUBE history CSV status=初当り
0069,g6,14:14,30,PSCUBE history CSV status=初当り
0070,g7,14:31,32,PSCUBE history CSV status=初当り
0071,g8,11:45,10,PSCUBE history CSV status=初当り
0072,g9,14:35,34,PSCUBE history CSV status=初当り
0073,g1,12:07,13,PSCUBE history CSV status=初当り
0074,g2,13:04,24,PSCUBE history CSV status=初当り
0075,g3,14:31,33,PSCUBE history CSV status=初当り
0076,g4,12:51,20,PSCUBE history CSV status=初当り
0077,g5,12:18,15,PSCUBE history CSV status=初当り
