group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,1,9,10,9.0
g1,12-15,12:00,15:00,6,14,20,2.3333
g1,15-18,15:00,18:00,6,9,15,1.5
g1,18-close,18:00,24:00,4,8,12,2.0
g2,09-12,09:00,12:00,0,0,0,
g2,12-15,12:00,15:00,7,16,23,2.2857
g2,15-18,15:00,18:00,4,17,21,4.25
g2,18-close,18:00,24:00,7,14,21,2.0
g3,09-12,09:00,12:00,2,2,4,1.0
g3,12-15,12:00,15:00,10,22,32,2.2
g3,15-18,15:00,18:00,9,21,30,2.3333
g3,18-close,18:00,24:00,14,44,58,3.1429
g4,09-12,09:00,12:00,3,6,9,2.0
g4,12-15,12:00,15:00,5,18,23,3.6
g4,15-18,15:00,18:00,11,28,39,2.5455
g4,18-close,18:00,24:00,8,44,52,5.5
g5,09-12,09:00,12:00,0,0,0,
g5,12-15,12:00,15:00,8,16,24,2.0
g5,15-18,15:00,18:00,8,19,27,2.375
g5,18-close,18:00,24:00,11,22,33,2.0
g6,09-12,09:00,12:00,3,5,8,1.6667
g6,12-15,12:00,15:00,2,5,7,2.5
g6,15-18,15:00,18:00,7,23,30,3.2857
g6,18-close,18:00,24:00,4,11,15,2.75
g7,09-12,09:00,12:00,3,4,7,1.3333
g7,12-15,12:00,15:00,4,8,12,2.0
g7,15-18,15:00,18:00,2,13,15,6.5
g7,18-close,18:00,24:00,6,29,35,4.8333
g8,09-12,09:00,12:00,2,3,5,1.5
g8,12-15,12:00,15:00,5,6,11,1.2
g8,15-18,15:00,18:00,7,12,19,1.7143
g8,18-close,18:00,24:00,3,14,17,4.6667
g9,09-12,09:00,12:00,1,1,2,1.0
g9,12-15,12:00,15:00,8,24,32,3.0
g9,15-18,15:00,18:00,5,8,13,1.6
g9,18-close,18:00,24:00,2,12,14,6.0
