group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,2,6,6,7,6,7
g2,1,9,9,1,2,6
g3,5,3,3,8,3,2
g4,3,5,5,3,7,1
g5,6,8,8,4,5,4
g6,4,1,1,9,1,5
g7,7,2,2,5,8,3
g8,8,7,7,2,9,9
g9,9,4,4,6,4,8
