order,time,machine,group,source
1,10:31,0050,g5,PSCUBE history CSV status=初当り
2,10:36,0068,g5,PSCUBE history CSV status=初当り
3,10:37,0043,g7,PSCUBE history CSV status=初当り
4,10:47,0071,g8,PSCUBE history CSV status=初当り
5,10:51,0058,g4,PSCUBE history CSV status=初当り
6,11:00,0041,g5,PSCUBE history CSV status=初当り
7,11:08,0064,g1,PSCUBE history CSV status=初当り
8,11:09,0077,g5,PSCUBE history CSV status=初当り
9,11:15,0054,g9,PSCUBE history CSV status=初当り
10,11:22,0048,g3,PSCUBE history CSV status=初当り
11,11:27,0045,g9,PSCUBE history CSV status=初当り
12,11:27,0053,g8,PSCUBE history CSV status=初当り
13,11:28,0047,g2,PSCUBE history CSV status=初当り
14,11:28,0065,g2,PSCUBE history CSV status=初当り
15,11:35,0060,g6,PSCUBE history CSV status=初当り
16,11:38,0067,g4,PSCUBE history CSV status=初当り
17,11:39,0070,g7,PSCUBE history CSV status=初当り
18,12:24,0073,g1,PSCUBE history CSV status=初当り
19,12:28,0044,g8,PSCUBE history CSV status=初当り
20,12:38,0074,g2,PSCUBE history CSV status=初当り
21,12:51,0059,g5,PSCUBE history CSV status=初当り
22,12:53,0046,g1,PSCUBE history CSV status=初当り
23,12:54,0075,g3,PSCUBE history CSV status=初当り
24,13:20,0042,g6,PSCUBE history CSV status=初当り
25,13:21,0052,g7,PSCUBE history CSV status=初当り
26,13:22,0061,g7,PSCUBE history CSV status=初当り
27,13:22,0069,g6,PSCUBE history CSV status=初当り
28,13:37,0072,g9,PSCUBE history CSV status=初当り
29,14:00,0057,g3,PSCUBE history CSV status=初当り
30,14:32,0040,g4,PSCUBE history CSV status=初当り
31,14:46,0051,g6,PSCUBE history CSV status=初当り
32,14:54,0039,g3,PSCUBE history CSV status=初当り
33,14:55,0055,g1,PSCUBE history CSV status=初当り
34,16:00,0049,g4,PSCUBE history CSV status=初当り
35,16:15,0063,g9,PSCUBE history CSV status=初当り
36,16:30,0062,g8,PSCUBE history CSV status=初当り
