group,machine_count,machines,initial_count,continuation_count,total_hit_count,continuation_per_initial,final_group_close
g1,4,"046,055,064,073",22,40,62,1.8182,9305
g2,4,"047,056,065,074",15,52,67,3.4667,22258
g3,5,"039,048,057,066,075",18,30,48,1.6667,-74610
g4,5,"040,049,058,067,076",15,36,51,2.4,-2650
g5,5,"041,050,059,068,077",26,85,111,3.2692,71954
g6,4,"042,051,060,069",13,36,49,2.7692,-1353
g7,4,"043,052,061,070",16,36,52,2.25,1889
g8,4,"044,053,062,071",14,49,63,3.5,11226
g9,4,"045,054,063,072",12,44,56,3.6667,-3352
