machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,3,1,4,0.3333,0,-25787,-25787
0040,g4,4,5,9,1.25,0,-5689,-178
0041,g5,6,17,23,2.8333,19138,0,11897
0042,g6,1,4,5,4.0,3879,-7644,-7644
0043,g7,4,7,11,1.75,4224,-3111,-3111
0044,g8,3,15,18,5.0,17931,-711,13276
0045,g9,1,2,3,2.0,0,-12444,-12444
0046,g1,9,13,22,1.4444,9483,-3644,7241
0047,g2,5,26,31,5.2,29744,-1558,29744
0048,g3,1,4,5,4.0,1736,-22468,-22468
0049,g4,5,18,23,3.6,26033,-2298,22562
0050,g5,5,9,14,1.8,8793,0,6121
0051,g6,7,23,30,3.2857,21570,-6638,19091
0052,g7,1,0,1,0.0,0,-10133,-10133
0053,g8,4,12,16,3.0,11552,-1244,1724
0054,g9,5,10,15,2.0,6198,-24766,-18638
0055,g1,6,9,15,1.5,2759,-8711,-1067
0056,g2,0,0,0,,0,-16711,-16711
0057,g3,8,13,21,1.625,2931,-9600,1379
0058,g4,3,1,4,0.3333,0,-20426,-20426
0059,g5,4,8,12,2.0,10517,0,690
0060,g6,3,5,8,1.6667,0,-14756,-8000
0061,g7,7,22,29,3.1429,27273,-1277,22066
0062,g8,2,4,6,2.0,0,-17067,-16533
0063,g9,2,6,8,3.0,862,-8356,-1244
0064,g1,2,7,9,3.5,8879,-4800,-4800
0065,g2,5,9,14,1.8,7672,-800,259
0066,g3,0,0,0,,0,-17778,-17778
0067,g4,3,12,15,4.0,4310,-5600,2414
0068,g5,6,24,30,4.0,25289,0,25041
0069,g6,2,4,6,2.0,3966,-6756,-4800
0070,g7,4,7,11,1.75,2155,-8711,-6933
0071,g8,5,18,23,3.6,14138,-356,12759
0072,g9,4,26,30,6.5,32308,-1558,28974
0073,g1,5,11,16,2.2,10690,-2844,7931
0074,g2,5,17,22,3.4,8966,-14756,8966
0075,g3,6,12,18,2.0,1034,-9956,-9956
0076,g4,0,0,0,,0,-7022,-7022
0077,g5,5,27,32,5.4,32051,-1558,28205
