machine,group,first_hit_time,first_hit_order,source
0039,g3,14:54,32,PSCUBE history CSV status=初当り
0040,g4,14:32,30,PSCUBE history CSV status=初当り
0041,g5,11:00,6,PSCUBE history CSV status=初当り
0042,g6,13:20,24,PSCUBE history CSV status=初当り
0043,g7,10:37,3,PSCUBE history CSV status=初当り
0044,g8,12:28,19,PSCUBE history CSV status=初当り
0045,g9,11:27,11,PSCUBE history CSV status=初当り
0046,g1,12:53,22,PSCUBE history CSV status=初当り
0047,g2,11:28,13,PSCUBE history CSV status=初当り
0048,g3,11:22,10,PSCUBE history CSV status=初当り
0049,g4,16:00,34,PSCUBE history CSV status=初当り
0050,g5,10:31,1,PSCUBE history CSV status=初当り
0051,g6,14:46,31,PSCUBE history CSV status=初当り
0052,g7,13:21,25,PSCUBE history CSV status=初当り
0053,g8,11:27,12,PSCUBE history CSV status=初当り
0054,g9,11:15,9,PSCUBE history CSV status=初当り
0055,g1,14:55,33,PSCUBE history CSV status=初当り
0056,g2,,,no qualifying history event
0057,g3,14:00,29,PSCUBE history CSV status=初当り
0058,g4,10:51,5,PSCUBE history CSV status=初当り
0059,g5,12:51,21,PSCUBE history CSV status=初当り
0060,g6,11:35,15,PSCUBE history CSV status=初当り
0061,g7,13:22,26,PSCUBE history CSV status=初当り
0062,g8,16:30,36,PSCUBE history CSV status=初当り
0063,g9,16:15,35,PSCUBE history CSV status=初当り
0064,g1,11:08,7,PSCUBE history CSV status=初当り
0065,g2,11:28,14,PSCUBE history CSV status=初当り
0066,g3,,,no qualifying history event
0067,g4,11:38,16,PSCUBE history CSV status=初当り
0068,g5,10:36,2,PSCUBE history CSV status=初当り
0069,g6,13:22,27,PSCUBE history CSV status=初当り
0070,g7,11:39,17,PSCUBE history CSV status=初当り
0071,g8,10:47,4,PSCUBE history CSV status=初当り
0072,g9,13:37,28,PSCUBE history CSV status=初当り
0073,g1,12:24,18,PSCUBE history CSV status=初当り
0074,g2,12:38,20,PSCUBE history CSV status=初当り
0075,g3,12:54,23,PSCUBE history CSV status=初当り
0076,g4,,,no qualifying history event
0077,g5,11:09,8,PSCUBE history CSV status=初当り
