group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,2,5,5,7,3,4
g2,3,8,8,2,1,2
g3,1,7,7,3,4,9
g4,7,4,4,9,7,7
g5,6,1,1,1,8,1
g6,4,9,9,8,9,6
g7,8,2,2,6,5,5
g8,5,3,3,5,6,3
g9,9,6,6,4,2,8
