group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,1,7,8,7.0
g1,12-15,12:00,15:00,8,15,23,1.875
g1,15-18,15:00,18:00,5,15,20,3.0
g1,18-close,18:00,24:00,8,3,11,0.375
g2,09-12,09:00,12:00,3,4,7,1.3333
g2,12-15,12:00,15:00,4,11,15,2.75
g2,15-18,15:00,18:00,4,22,26,5.5
g2,18-close,18:00,24:00,4,15,19,3.75
g3,09-12,09:00,12:00,1,4,5,4.0
g3,12-15,12:00,15:00,4,7,11,1.75
g3,15-18,15:00,18:00,5,12,17,2.4
g3,18-close,18:00,24:00,8,7,15,0.875
g4,09-12,09:00,12:00,2,4,6,2.0
g4,12-15,12:00,15:00,1,3,4,3.0
g4,15-18,15:00,18:00,9,21,30,2.3333
g4,18-close,18:00,24:00,3,8,11,2.6667
g5,09-12,09:00,12:00,7,22,29,3.1429
g5,12-15,12:00,15:00,8,20,28,2.5
g5,15-18,15:00,18:00,10,33,43,3.3
g5,18-close,18:00,24:00,1,10,11,10.0
g6,09-12,09:00,12:00,1,0,1,0.0
g6,12-15,12:00,15:00,3,8,11,2.6667
g6,15-18,15:00,18:00,3,16,19,5.3333
g6,18-close,18:00,24:00,6,12,18,2.0
g7,09-12,09:00,12:00,2,5,7,2.5
g7,12-15,12:00,15:00,5,11,16,2.2
g7,15-18,15:00,18:00,6,13,19,2.1667
g7,18-close,18:00,24:00,3,7,10,2.3333
g8,09-12,09:00,12:00,3,8,11,2.6667
g8,12-15,12:00,15:00,3,12,15,4.0
g8,15-18,15:00,18:00,4,20,24,5.0
g8,18-close,18:00,24:00,4,9,13,2.25
g9,09-12,09:00,12:00,2,6,8,3.0
g9,12-15,12:00,15:00,2,16,18,8.0
g9,15-18,15:00,18:00,3,15,18,5.0
g9,18-close,18:00,24:00,5,7,12,1.4
