group,previous_wavelab_rank,previous_wavelab_score,previous_strong_group,morning_first_hit_time,morning_first_hit_machine,morning_first_hit_rank,activity_start_time,activity_start_rank,activity_start_initial,activity_start_continuation,activity_start_total,peak_initial_count,peak_continuation_count,peak_total_activity,peak_activity_rank,peak_group_delta,peak_delta_rank,final_close,final_rank
g1,8,0,False,11:12,0055,9,11:10,9,1,0,1,2,7,9,1,-2261,5,31505,1
g2,4,0.75,False,10:36,0074,4,10:35,3,1,0,1,1,0,1,6,-4031,8,-3451,4
g3,1,1,True,10:51,0048,7,10:50,7,1,0,1,1,3,4,4,-4251,9,-40535,9
g4,5,0.6,False,10:35,0076,3,10:35,4,1,1,2,0,5,5,3,5268,2,6812,2
g5,7,0.2,False,10:49,0050,6,10:45,5,1,0,1,0,0,0,7,-3466,6,-33866,8
g6,9,0,False,10:46,0042,5,10:45,6,1,0,1,1,5,6,2,-481,3,-9719,5
g7,6,0.5,False,10:21,0061,1,10:20,1,1,0,1,0,0,0,8,5845,1,2222,3
g8,2,1,True,10:25,0071,2,10:25,2,1,0,1,0,0,0,9,-2206,4,-25683,7
g9,3,1,False,10:53,0072,8,10:50,8,1,0,1,1,1,2,5,-3921,7,-14743,6
