group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,2,2,4,1.0
g1,12-15,12:00,15:00,9,15,24,1.6667
g1,15-18,15:00,18:00,6,15,21,2.5
g1,18-close,18:00,24:00,8,24,32,3.0
g2,09-12,09:00,12:00,1,1,2,1.0
g2,12-15,12:00,15:00,3,6,9,2.0
g2,15-18,15:00,18:00,8,11,19,1.375
g2,18-close,18:00,24:00,7,19,26,2.7143
g3,09-12,09:00,12:00,2,9,11,4.5
g3,12-15,12:00,15:00,7,3,10,0.4286
g3,15-18,15:00,18:00,4,11,15,2.75
g3,18-close,18:00,24:00,4,9,13,2.25
g4,09-12,09:00,12:00,3,2,5,0.6667
g4,12-15,12:00,15:00,9,29,38,3.2222
g4,15-18,15:00,18:00,9,17,26,1.8889
g4,18-close,18:00,24:00,10,13,23,1.3
g5,09-12,09:00,12:00,5,7,12,1.4
g5,12-15,12:00,15:00,3,3,6,1.0
g5,15-18,15:00,18:00,10,12,22,1.2
g5,18-close,18:00,24:00,4,10,14,2.5
g6,09-12,09:00,12:00,2,1,3,0.5
g6,12-15,12:00,15:00,7,6,13,0.8571
g6,15-18,15:00,18:00,6,17,23,2.8333
g6,18-close,18:00,24:00,7,21,28,3.0
g7,09-12,09:00,12:00,1,0,1,0.0
g7,12-15,12:00,15:00,4,17,21,4.25
g7,15-18,15:00,18:00,4,10,14,2.5
g7,18-close,18:00,24:00,7,17,24,2.4286
g8,09-12,09:00,12:00,4,1,5,0.25
g8,12-15,12:00,15:00,3,2,5,0.6667
g8,15-18,15:00,18:00,6,15,21,2.5
g8,18-close,18:00,24:00,5,8,13,1.6
g9,09-12,09:00,12:00,2,2,4,1.0
g9,12-15,12:00,15:00,4,7,11,1.75
g9,15-18,15:00,18:00,5,11,16,2.2
g9,18-close,18:00,24:00,4,12,16,3.0
