machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,3,13,16,4.3333,0,-14400,-356
0040,g4,7,4,11,0.5714,0,-7289,-7289
0041,g5,4,4,8,1.0,0,-7733,-6400
0042,g6,4,3,7,0.75,992,-21702,-21702
0043,g7,1,3,4,3.0,0,-19911,-19911
0044,g8,3,2,5,0.6667,0,-13156,-12800
0045,g9,3,11,14,3.6667,6207,-5956,5345
0046,g1,7,21,28,3.0,14655,-3556,14655
0047,g2,5,15,20,3.0,11034,-7111,7586
0048,g3,4,10,14,2.5,15172,-356,-356
0049,g4,7,19,26,2.7143,19483,-711,12414
0050,g5,6,8,14,1.3333,3793,-15289,-11556
0051,g6,6,16,22,2.6667,10517,-8889,7414
0052,g7,4,17,21,4.25,19655,-2667,16034
0053,g8,7,15,22,2.1429,13276,-6756,12586
0054,g9,3,4,7,1.3333,5345,-6844,-6844
0055,g1,8,10,18,1.25,6983,-8622,-3022
0056,g2,3,6,9,2.0,948,-7289,-1244
0057,g3,2,5,7,2.5,0,-15467,-15467
0058,g4,6,8,14,1.3333,0,-21702,-17106
0059,g5,2,4,6,2.0,0,-9244,-9244
0060,g6,6,12,18,2.0,8103,-1511,1207
0061,g7,8,16,24,2.0,10000,-7644,9655
0062,g8,2,2,4,1.0,0,-20936,-20936
0063,g9,2,3,5,1.5,0,-7022,-7022
0064,g1,7,24,31,3.4286,24793,-5106,24050
0065,g2,7,12,19,1.7143,7241,-1689,6207
0066,g3,6,2,8,0.3333,0,-11378,-9067
0067,g4,3,17,20,5.6667,16724,-6933,11034
0068,g5,5,13,18,2.6,4741,-4711,-1244
0069,g6,6,14,20,2.3333,5345,-9956,3362
0070,g7,3,8,11,2.6667,3103,-6222,-3556
0071,g8,6,7,13,1.1667,6034,-4533,-4533
0072,g9,7,14,21,2.0,3362,-9156,-6222
0073,g1,3,1,4,0.3333,1207,-4178,-4178
0074,g2,4,4,8,1.0,517,-16000,-16000
0075,g3,2,2,4,1.0,0,-15289,-15289
0076,g4,8,13,21,1.625,11207,0,7759
0077,g5,5,3,8,0.6,0,-6044,-5422
