order,time,machine,group,source
1,10:21,0061,g7,PSCUBE history CSV status=初当り
2,10:25,0071,g8,PSCUBE history CSV status=初当り
3,10:35,0076,g4,PSCUBE history CSV status=初当り
4,10:36,0074,g2,PSCUBE history CSV status=初当り
5,10:46,0042,g6,PSCUBE history CSV status=初当り
6,10:49,0050,g5,PSCUBE history CSV status=初当り
7,10:51,0048,g3,PSCUBE history CSV status=初当り
8,10:53,0072,g9,PSCUBE history CSV status=初当り
9,11:12,0055,g1,PSCUBE history CSV status=初当り
10,11:31,0060,g6,PSCUBE history CSV status=初当り
11,11:32,0068,g5,PSCUBE history CSV status=初当り
12,11:52,0058,g4,PSCUBE history CSV status=初当り
13,11:53,0064,g1,PSCUBE history CSV status=初当り
14,11:56,0053,g8,PSCUBE history CSV status=初当り
15,12:06,0069,g6,PSCUBE history CSV status=初当り
16,12:07,0046,g1,PSCUBE history CSV status=初当り
17,12:12,0065,g2,PSCUBE history CSV status=初当り
18,12:19,0054,g9,PSCUBE history CSV status=初当り
19,12:25,0066,g3,PSCUBE history CSV status=初当り
20,12:26,0040,g4,PSCUBE history CSV status=初当り
21,12:57,0049,g4,PSCUBE history CSV status=初当り
22,13:00,0075,g3,PSCUBE history CSV status=初当り
23,13:21,0067,g4,PSCUBE history CSV status=初当り
24,13:34,0043,g7,PSCUBE history CSV status=初当り
25,13:42,0073,g1,PSCUBE history CSV status=初当り
26,13:46,0070,g7,PSCUBE history CSV status=初当り
27,13:47,0051,g6,PSCUBE history CSV status=初当り
28,14:16,0039,g3,PSCUBE history CSV status=初当り
29,14:33,0044,g8,PSCUBE history CSV status=初当り
30,14:33,0077,g5,PSCUBE history CSV status=初当り
31,14:55,0057,g3,PSCUBE history CSV status=初当り
32,15:01,0063,g9,PSCUBE history CSV status=初当り
33,15:12,0059,g5,PSCUBE history CSV status=初当り
34,15:17,0045,g9,PSCUBE history CSV status=初当り
35,15:25,0041,g5,PSCUBE history CSV status=初当り
36,15:37,0062,g8,PSCUBE history CSV status=初当り
37,15:43,0047,g2,PSCUBE history CSV status=初当り
38,15:57,0052,g7,PSCUBE history CSV status=初当り
39,16:32,0056,g2,PSCUBE history CSV status=初当り
